aX,aY,aZ,gX,gY,gZ,label
0.2508,0.9248,-0.1542,3.08,-0.91,-0.14,running
0.2503,0.9252,-0.1532,2.66,-1.12,0.07,running
0.246,0.9248,-0.1571,2.94,-1.47,0.07,running
0.2484,0.9272,-0.1552,2.52,-2.03,0.21,running
0.2499,0.9257,-0.1591,2.31,-2.03,0.21,running
0.2533,0.9272,-0.1557,2.52,-1.89,0.14,running
0.2562,0.9267,-0.1562,2.03,-1.75,-0.07,running
0.2552,0.9248,-0.1537,2.31,-1.33,-0.35,running
0.2533,0.9257,-0.1562,2.38,-1.33,-0.56,running
0.2503,0.9223,-0.1542,2.31,-1.12,-0.28,running
0.2445,0.9252,-0.1562,2.8,-1.47,-0.14,running
0.245,0.9257,-0.1606,2.45,-1.75,0.42,running
0.2503,0.9252,-0.1552,2.45,-2.1,0.7,running
0.2508,0.9262,-0.1557,2.45,-1.96,0.49,running
0.2528,0.9257,-0.1557,2.31,-1.96,0.35,running
0.2606,0.9267,-0.1576,0.63,-1.89,0.14,running
0.2533,0.9321,-0.1684,-1.33,-3.15,-0.07,running
0.2489,0.9433,-0.1791,-9.03,-6.44,0.56,running
0.2425,0.9633,-0.1825,-20.3,-12.53,-0.21,running
0.2508,0.9516,-0.1571,-23.1,-17.29,-3.57,running
0.2479,0.9257,-0.1444,-21.49,-18.27,-3.99,running
0.2294,0.9292,-0.1581,-24.22,-18.13,-2.38,running
0.2406,0.9496,-0.1449,-28.91,-19.18,-3.43,running
0.2869,0.957,-0.1205,-30.94,-20.51,-6.16,running
0.2713,0.9243,-0.1205,-26.74,-19.6,-7.91,running
0.2147,0.8769,-0.103,-14.7,-14.63,-4.41,running
0.2318,0.8804,-0.1108,-5.46,-4.62,1.68,running
0.2328,0.9111,-0.1127,-0.42,-1.61,6.02,running
0.2362,0.9296,-0.1225,0.14,-2.45,6.72,running
0.2386,0.9345,-0.1157,1.26,-4.76,5.81,running
0.2411,0.9248,-0.12,3.01,-3.5,6.3,running
0.2323,0.9179,-0.1176,5.74,-1.12,8.89,running
0.2333,0.9233,-0.1176,7.84,0.7,10.85,running
0.2523,0.9389,-0.1259,6.16,0.21,10.43,running
0.2518,0.9438,-0.1244,3.5,-2.38,8.47,running
0.2621,0.9379,-0.123,0.49,-4.27,7.7,running
0.2655,0.9292,-0.124,-1.05,-4.27,7.07,running
0.264,0.9248,-0.1205,-0.77,-3.71,6.72,running
0.2757,0.9213,-0.1166,-0.07,-2.94,6.09,running
0.2679,0.9243,-0.123,1.26,-2.45,5.04,running
0.2542,0.9174,-0.122,3.29,-1.54,4.9,running
0.2469,0.9165,-0.122,5.6,-0.63,5.88,running
0.2474,0.9194,-0.1191,7.63,-0.7,6.72,running
0.2513,0.9233,-0.1235,8.26,-1.12,7.7,running
0.2528,0.9292,-0.1244,7.7,-2.1,7.84,running
0.2601,0.9321,-0.122,6.72,-2.59,7.63,running
0.2586,0.9296,-0.1249,6.09,-2.8,7.63,running
0.2557,0.9277,-0.1274,5.6,-3.22,8.05,running
0.2533,0.9238,-0.1293,5.6,-3.99,8.47,running
0.264,0.9252,-0.1318,5.6,-5.32,8.82,running
0.2718,0.9243,-0.1322,5.04,-6.02,9.31,running
0.2806,0.9204,-0.1249,5.39,-5.6,9.03,running
0.2845,0.9213,-0.1215,5.6,-4.97,8.82,running
0.2811,0.9243,-0.1254,6.51,-3.71,8.19,running
0.2801,0.9213,-0.1264,6.16,-3.78,8.26,running
0.2723,0.9267,-0.1259,4.97,-4.69,8.61,running
0.2869,0.9238,-0.1279,4.06,-6.44,8.61,running
0.2791,0.9252,-0.1288,1.54,-8.68,9.24,running
0.2704,0.9267,-0.1157,0.35,-9.45,9.52,running
0.2855,0.9277,-0.1078,-0.21,-11.69,9.31,running
0.3099,0.9306,-0.1113,-1.47,-12.95,9.73,running
0.2948,0.9189,-0.1142,-1.89,-12.6,9.24,running
0.2757,0.9043,-0.1147,0.56,-11.27,9.73,running
0.2801,0.9018,-0.1181,3.57,-10.64,10.71,running
0.3055,0.9106,-0.1113,4.27,-11.13,11.83,running
