aX,aY,aZ,gX,gY,gZ
0.2508,0.9248,-0.1542,3.0800,-0.9100,-0.1400
0.2503,0.9252,-0.1532,2.6600,-1.1200,0.0700
0.2460,0.9248,-0.1571,2.9400,-1.4700,0.0700
0.2484,0.9272,-0.1552,2.5200,-2.0300,0.2100
0.2499,0.9257,-0.1591,2.3100,-2.0300,0.2100
0.2533,0.9272,-0.1557,2.5200,-1.8900,0.1400
0.2562,0.9267,-0.1562,2.0300,-1.7500,-0.0700
0.2552,0.9248,-0.1537,2.3100,-1.3300,-0.3500
0.2533,0.9257,-0.1562,2.3800,-1.3300,-0.5600
0.2503,0.9223,-0.1542,2.3100,-1.1200,-0.2800
0.2445,0.9252,-0.1562,2.8000,-1.4700,-0.1400
0.2450,0.9257,-0.1606,2.4500,-1.7500,0.4200
0.2503,0.9252,-0.1552,2.4500,-2.1000,0.7000
0.2508,0.9262,-0.1557,2.4500,-1.9600,0.4900
0.2528,0.9257,-0.1557,2.3100,-1.9600,0.3500
0.2606,0.9267,-0.1576,0.6300,-1.8900,0.1400
0.2533,0.9321,-0.1684,-1.3300,-3.1500,-0.0700
0.2489,0.9433,-0.1791,-9.0300,-6.4400,0.5600
0.2425,0.9633,-0.1825,-20.3000,-12.5300,-0.2100
0.2508,0.9516,-0.1571,-23.1000,-17.2900,-3.5700
0.2479,0.9257,-0.1444,-21.4900,-18.2700,-3.9900
0.2294,0.9292,-0.1581,-24.2200,-18.1300,-2.3800
0.2406,0.9496,-0.1449,-28.9100,-19.1800,-3.4300
0.2869,0.9570,-0.1205,-30.9400,-20.5100,-6.1600
0.2713,0.9243,-0.1205,-26.7400,-19.6000,-7.9100
0.2147,0.8769,-0.1030,-14.7000,-14.6300,-4.4100
0.2318,0.8804,-0.1108,-5.4600,-4.6200,1.6800
0.2328,0.9111,-0.1127,-0.4200,-1.6100,6.0200
0.2362,0.9296,-0.1225,0.1400,-2.4500,6.7200
0.2386,0.9345,-0.1157,1.2600,-4.7600,5.8100
0.2411,0.9248,-0.1200,3.0100,-3.5000,6.3000
0.2323,0.9179,-0.1176,5.7400,-1.1200,8.8900
0.2333,0.9233,-0.1176,7.8400,0.7000,10.8500
0.2523,0.9389,-0.1259,6.1600,0.2100,10.4300
0.2518,0.9438,-0.1244,3.5000,-2.3800,8.4700
0.2621,0.9379,-0.1230,0.4900,-4.2700,7.7000
0.2655,0.9292,-0.1240,-1.0500,-4.2700,7.0700
0.2640,0.9248,-0.1205,-0.7700,-3.7100,6.7200
0.2757,0.9213,-0.1166,-0.0700,-2.9400,6.0900
0.2679,0.9243,-0.1230,1.2600,-2.4500,5.0400
0.2542,0.9174,-0.1220,3.2900,-1.5400,4.9000
0.2469,0.9165,-0.1220,5.6000,-0.6300,5.8800
0.2474,0.9194,-0.1191,7.6300,-0.7000,6.7200
0.2513,0.9233,-0.1235,8.2600,-1.1200,7.7000
0.2528,0.9292,-0.1244,7.7000,-2.1000,7.8400
0.2601,0.9321,-0.1220,6.7200,-2.5900,7.6300
0.2586,0.9296,-0.1249,6.0900,-2.8000,7.6300
0.2557,0.9277,-0.1274,5.6000,-3.2200,8.0500
0.2533,0.9238,-0.1293,5.6000,-3.9900,8.4700
0.2640,0.9252,-0.1318,5.6000,-5.3200,8.8200
0.2718,0.9243,-0.1322,5.0400,-6.0200,9.3100
0.2806,0.9204,-0.1249,5.3900,-5.6000,9.0300
0.2845,0.9213,-0.1215,5.6000,-4.9700,8.8200
0.2811,0.9243,-0.1254,6.5100,-3.7100,8.1900
0.2801,0.9213,-0.1264,6.1600,-3.7800,8.2600
0.2723,0.9267,-0.1259,4.9700,-4.6900,8.6100
0.2869,0.9238,-0.1279,4.0600,-6.4400,8.6100
0.2791,0.9252,-0.1288,1.5400,-8.6800,9.2400
0.2704,0.9267,-0.1157,0.3500,-9.4500,9.5200
0.2855,0.9277,-0.1078,-0.2100,-11.6900,9.3100
0.3099,0.9306,-0.1113,-1.4700,-12.9500,9.7300
0.2948,0.9189,-0.1142,-1.8900,-12.6000,9.2400
0.2757,0.9043,-0.1147,0.5600,-11.2700,9.7300
0.2801,0.9018,-0.1181,3.5700,-10.6400,10.7100
0.3055,0.9106,-0.1113,4.2700,-11.1300,11.8300
0.3226,0.9204,-0.1093,3.6400,-12.7400,11.8300
0.2962,0.9170,-0.1352,4.6200,-13.3700,10.1500
0.2782,0.8999,-0.1425,7.1400,-12.3900,10.9200
0.2801,0.8940,-0.1381,9.1000,-11.4100,12.6700
0.2801,0.9028,-0.1440,10.1500,-11.9000,13.7200
0.2913,0.9101,-0.1566,8.8900,-13.7200,14.4200
0.2904,0.9087,-0.1615,7.9800,-15.8900,15.1900
0.2625,0.9101,-0.1523,6.3000,-16.9400,15.8200
0.2596,0.8999,-0.1654,8.1200,-18.3400,17.5700
0.2625,0.9048,-0.1796,9.2400,-20.5800,19.3200
0.2718,0.9121,-0.1942,8.6100,-22.7500,21.2100
0.2713,0.9106,-0.2040,7.8400,-25.4800,22.1900
0.3021,0.9096,-0.1967,5.5300,-26.6000,23.5200
0.3362,0.9121,-0.1937,3.1500,-24.5000,23.2400
0.3382,0.9184,-0.2025,1.7500,-19.6700,20.7900
0.3489,0.9121,-0.1957,1.4700,-14.7000,19.5300
0.3582,0.9013,-0.1903,2.1700,-9.4500,18.5500
0.3475,0.9028,-0.1810,1.0500,-5.3900,17.7800
0.3416,0.9057,-0.1654,1.1900,-3.9200,17.9900
0.3445,0.9023,-0.1581,0.7000,-3.9200,18.9000
0.3250,0.8984,-0.1601,2.3100,-3.9200,19.9500
0.3455,0.8852,-0.1562,3.2200,-3.3600,21.4900
