aX,aY,aZ,gX,gY,gZ
2.1000,-0.9800,-0.1400
0.1308,0.9545,-0.1005,2.1000,-0.7700,-0.2800
0.1327,0.9526,-0.1015,2.1700,-0.8400,-0.2800
0.1318,0.9545,-0.0996,2.1700,-0.6300,-0.2800
0.1318,0.9536,-0.1000,2.1700,-0.2800,-0.5600
0.1322,0.9536,-0.1005,2.2400,-0.2800,-0.4900
0.1332,0.9526,-0.1015,2.2400,-0.2100,-0.5600
0.1318,0.9536,-0.0986,2.3100,0.1400,-0.4200
0.1327,0.9550,-0.0986,2.4500,0.3500,-0.4900
0.1327,0.9570,-0.1000,1.8200,0.4200,-0.3500
0.1303,0.9516,-0.0991,2.0300,0.4200,-0.6300
0.1327,0.9521,-0.0976,2.2400,0.1400,-0.4200
0.1357,0.9560,-0.1005,2.3800,0.5600,-0.4200
0.1327,0.9536,-0.0991,2.3100,1.1900,-0.7000
0.1279,0.9550,-0.1035,1.6800,0.5600,-0.4200
0.1254,0.9496,-0.0991,1.8900,0.1400,-0.2100
0.1264,0.9521,-0.1010,2.3800,-0.1400,-0.2100
0.1279,0.9550,-0.0996,2.1700,-0.2100,-0.0700
0.1303,0.9540,-0.0971,1.8900,-0.9800,0.0000
0.1298,0.9536,-0.0971,1.6800,-0.8400,-0.0700
0.1303,0.9511,-0.1000,1.9600,-1.0500,-0.1400
0.1293,0.9536,-0.0996,1.9600,-0.9800,0.0000
0.1264,0.9536,-0.0981,1.7500,-1.2600,0.0000
0.1274,0.9531,-0.0991,1.8200,-1.4000,0.0700
0.1293,0.9555,-0.0996,1.8900,-1.6100,0.2800
0.1279,0.9531,-0.0961,2.1700,-1.5400,0.1400
0.1318,0.9526,-0.0976,2.2400,-1.5400,0.2100
0.1332,0.9540,-0.0966,2.1000,-1.5400,0.2800
0.1342,0.9545,-0.0976,2.4500,-1.1900,0.0700
0.1337,0.9555,-0.0971,2.4500,-1.0500,0.0700
0.1313,0.9540,-0.0996,2.3100,-1.3300,0.0000
0.1308,0.9531,-0.1000,2.1700,-1.2600,0.0000
0.1308,0.9511,-0.0981,2.5900,-1.1900,0.2100
0.1303,0.9550,-0.0952,2.6600,-1.1900,0.0700
0.1332,0.9575,-0.0956,2.4500,-0.9800,0.0700
0.1342,0.9555,-0.0976,2.3800,-0.7000,-0.1400
0.1332,0.9536,-0.1005,2.3800,-0.5600,-0.1400
0.1347,0.9536,-0.1020,1.9600,-0.4900,-0.2800
0.1322,0.9516,-0.1020,2.4500,-0.1400,-0.4200
0.1357,0.9540,-0.1005,2.7300,0.2800,-0.2100
0.1337,0.9565,-0.0942,3.0800,0.9100,-0.3500
0.1322,0.9575,-0.0961,2.5200,1.2600,-0.6300
0.1337,0.9550,-0.0971,2.1000,1.5400,-0.5600
0.1318,0.9511,-0.1005,2.5900,1.2600,-0.4200
0.1283,0.9501,-0.1010,2.8700,0.4200,-0.2800
0.1274,0.9570,-0.0996,2.5200,-0.2100,-0.8400
0.1366,0.9570,-0.0976,2.5900,0.1400,-0.8400
0.1391,0.9550,-0.0956,2.8000,0.4900,-1.4000
0.1376,0.9565,-0.0981,2.5200,0.9800,-1.6100
0.1381,0.9555,-0.1015,2.0300,1.0500,-1.9600
0.1352,0.9536,-0.1044,1.9600,1.2600,-2.0300
0.1298,0.9511,-0.1054,2.3100,0.7700,-2.1000
0.1274,0.9531,-0.1010,2.6600,0.7000,-2.2400
0.1249,0.9550,-0.1020,2.5200,0.2800,-2.3800
0.1274,0.9545,-0.0937,2.5900,0.4900,-2.2400
0.1283,0.9536,-0.0952,2.8000,-0.0700,-2.1700
0.1259,0.9589,-0.0947,2.1700,-0.2100,-2.1000
0.1264,0.9565,-0.0966,1.9600,-0.6300,-1.9600
0.1230,0.9536,-0.0976,2.1700,-0.8400,-1.8200
0.1235,0.9565,-0.1015,2.3100,-1.2600,-1.8200
0.1240,0.9560,-0.0996,2.2400,-1.2600,-1.6800
0.1254,0.9565,-0.1010,2.0300,-1.2600,-1.8200
