aX,aY,aZ,gX,gY,gZ
0.0722,0.9609,-0.0903,2.8700,-0.8400,-0.2800
0.0708,0.9604,-0.0937,2.6600,-1.0500,-0.2800
0.0717,0.9589,-0.0922,3.0100,-1.1200,-0.2100
0.0712,0.9594,-0.0927,3.0100,-1.3300,0.0000
0.0727,0.9609,-0.0922,2.8000,-1.3300,-0.1400
0.0756,0.9594,-0.0927,2.8700,-1.4700,-0.3500
0.0732,0.9604,-0.0947,2.7300,-1.4700,-0.3500
0.0737,0.9599,-0.0913,2.9400,-1.2600,-0.3500
0.0747,0.9614,-0.0952,2.8000,-1.0500,-0.4200
0.0742,0.9609,-0.0952,2.9400,-1.0500,-0.2100
0.0708,0.9618,-0.0956,2.7300,-1.3300,-0.2100
0.0698,0.9579,-0.0991,2.8000,-1.4000,0.0000
0.0712,0.9599,-0.0952,3.1500,-2.0300,0.0000
0.0752,0.9614,-0.0947,3.0800,-1.8200,0.0000
0.0747,0.9614,-0.0917,2.9400,-2.0300,0.0000
0.0717,0.9589,-0.0952,2.8700,-1.7500,-0.2100
0.0766,0.9604,-0.0927,2.9400,-1.7500,-0.4200
0.0722,0.9628,-0.0917,2.9400,-1.4700,-0.2800
0.0717,0.9628,-0.0971,2.6600,-1.6800,-0.2800
0.0673,0.9604,-0.0976,2.6600,-1.6800,-0.0700
0.0717,0.9609,-0.0961,2.8000,-1.9600,0.0700
0.0703,0.9604,-0.0966,2.6600,-2.1700,0.4200
0.0732,0.9628,-0.0961,2.3800,-2.3100,0.3500
0.0712,0.9604,-0.0976,1.8200,-2.6600,0.3500
0.0742,0.9589,-0.0991,2.3800,-2.3100,0.4900
0.0708,0.9628,-0.0996,2.3800,-2.5900,0.6300
0.0703,0.9599,-0.0981,1.8900,-2.9400,0.6300
0.0693,0.9594,-0.0976,1.9600,-3.0800,0.7700
0.0712,0.9609,-0.1000,1.8900,-3.2900,0.9100
0.0747,0.9575,-0.0966,2.0300,-3.4300,0.9800
0.0727,0.9594,-0.0976,2.3100,-3.2200,1.0500
0.0742,0.9628,-0.0991,1.9600,-3.1500,1.1200
0.0727,0.9618,-0.0956,1.8200,-3.0800,1.1200
0.0742,0.9599,-0.1025,1.7500,-3.0800,1.1900
