aX,aY,aZ,gX,gY,gZ
0.1210,0.9511,-0.0410,-11.8300,7.0000,20.8600
0.1215,0.9594,-0.0400,-12.1100,9.3100,24.0100
0.1044,0.9662,-0.0390,-13.7200,10.5700,27.6500
0.0630,0.9701,-0.0259,-14.5600,10.2900,31.7800
-0.0278,0.9765,-0.0508,-18.6200,10.2900,31.7100
0.0093,0.9614,-0.1044,-16.1700,0.9100,33.7400
0.0454,0.9609,-0.1088,-14.2800,-5.7400,35.8400
0.1357,0.9536,-0.0454,-10.2900,-10.6400,39.2000
0.2064,0.9823,-0.0156,-9.1700,-4.0600,41.3700
0.2342,1.0063,-0.0024,-11.4100,4.4800,42.0000
0.2196,1.0214,-0.0210,-15.6100,10.8500,41.0900
0.2030,1.0102,-0.0312,-16.6600,12.6000,40.7400
0.1893,1.0028,-0.0307,-15.1900,12.3900,42.2100
0.1859,1.0092,-0.0224,-12.1800,11.8300,44.0300
0.1957,1.0297,-0.0127,-11.2700,10.7100,45.1500
0.2015,1.0546,-0.0137,-13.3700,9.8000,45.2900
0.2040,1.0634,-0.0205,-16.1000,9.1000,43.6100
0.2035,1.0438,-0.0107,-16.1000,5.3900,41.0900
0.2420,1.0038,0.0532,-11.6200,4.3400,39.4100
0.2816,0.9853,0.1035,-9.1000,6.5100,38.4300
0.2899,0.9784,0.1225,-12.1100,10.1500,36.6100
0.2786,0.9609,0.0834,-12.8100,12.4600,33.8100
0.2747,0.9496,0.0020,-12.2500,16.0300,30.2400
0.2801,0.9233,-0.0644,8.6100,9.7300,28.4200
0.4085,1.0004,0.0488,10.7800,7.7000,45.7100
0.2650,1.1375,0.2557,26.3200,27.6500,54.8100
0.3021,1.3025,0.0493,-4.9000,29.8900,53.6200
0.1815,1.2249,0.0869,-35.4200,37.5200,38.9900
0.1713,1.0590,-0.1142,-27.8600,42.0000,35.0000
0.1767,0.9936,-0.1928,-1.8900,29.3300,48.0200
0.0756,1.0497,-0.1030,15.3300,27.3000,59.9900
0.1430,1.2098,-0.1679,10.4300,2.6600,62.4400
0.0683,1.4420,-0.2699,-12.8800,-11.0600,36.3300
0.0293,1.2732,0.2747,-31.9200,-40.6000,25.6900
0.1728,1.1336,0.1357,-40.0400,-12.8800,25.9000
0.2977,0.9555,0.0615,-32.3400,13.7900,43.1200
0.3592,0.8706,0.0059,-17.6400,17.3600,69.3700
0.2850,0.8457,0.0098,-3.1500,14.0700,57.4000
0.2874,0.8818,-0.0800,-1.5400,2.3100,53.2700
0.3050,0.8657,-0.0425,-1.8200,-9.0300,46.8300
0.3723,0.8281,-0.0459,-2.7300,-8.6100,36.6100
0.3870,0.7896,-0.0586,-5.8100,-1.1200,32.0600
0.2933,0.7462,-0.1464,-14.9100,10.4300,21.3500
0.1942,0.6803,-0.1967,-14.6300,29.8200,6.5800
0.2079,0.5636,-0.0088,21.4900,44.3800,-4.3400
-0.0893,0.6559,0.0673,18.8300,50.6100,-5.9500
-0.2503,0.7208,0.1347,8.4000,38.7100,-17.6400
-0.1220,0.7183,0.0425,5.1100,31.4300,-28.1400
-0.0678,0.6744,0.0073,4.3400,24.9900,-40.3200
-0.0410,0.6232,0.0020,10.0800,21.4200,-46.0600
-0.0708,0.6144,0.0234,20.7900,20.5800,-49.7700
-0.0815,0.6534,0.0283,27.5800,19.7400,-55.0900
-0.0630,0.7110,0.0156,29.5400,18.5500,-63.0700
-0.0556,0.7569,0.0307,27.1600,16.8000,-75.8100
-0.0498,0.7749,0.0644,24.9900,17.6400,-84.9100
-0.0151,0.7876,0.0786,23.5900,18.9700,-91.6300
0.0059,0.8062,0.0791,22.0500,16.5200,-97.0900
0.0137,0.8111,0.0952,22.7500,11.8300,-100.3100
0.0395,0.8233,0.1000,26.3200,8.4700,-101.3600
0.0800,0.8530,0.1064,31.3600,7.2100,-101.5700
0.1166,0.8882,0.1161,32.6200,8.1200,-100.8000
0.1552,0.9233,0.1254,30.8000,10.5700,-100.4500
0.1908,0.9467,0.1030,27.2300,13.0200,-101.2900
0.2289,0.9462,0.1093,26.5300,12.1800,-101.9900
0.2538,0.9399,0.1459,28.0700,10.3600,-101.7800
0.2704,0.9526,0.1732,29.4700,9.4500,-100.1700
0.2835,0.9794,0.1659,27.5100,7.0000,-98.2100
0.2889,1.0038,0.1410,24.0100,2.8000,-97.0200
0.2835,1.0146,0.1230,19.6700,-5.7400,-97.0200
0.2728,1.0180,0.0893,16.5200,-8.3300,-96.4600
0.2860,1.0175,0.0381,14.9800,-11.0600,-94.2200
0.2723,0.9984,0.0386,17.2900,-15.1200,-91.9800
0.2455,0.9828,0.0224,18.5500,-17.3600,-88.4100
0.2494,0.9804,-0.0434,26.7400,-22.4700,-84.9100
0.2718,0.9916,-0.0620,33.3200,-29.7500,-79.8000
0.2948,1.0072,-0.0044,42.2800,-34.3000,-72.8700
0.3226,1.0526,0.0322,39.4800,-36.6100,-66.7100
0.3270,1.0814,0.0220,30.2400,-37.0300,-63.4900
0.3304,1.0848,-0.0132,19.3200,-38.4300,-61.3200
0.3231,1.0438,-0.0005,12.3900,-44.3800,-57.2600
0.2972,0.9921,0.0215,9.7300,-45.9900,-50.2600
0.3079,0.9614,-0.0386,8.6800,-46.4800,-39.4100
0.3548,0.9370,-0.0722,9.8700,-43.4700,-33.3200
0.3938,0.9106,-0.0425,14.2100,-37.1000,-23.0300
0.3728,0.8940,-0.0005,17.7800,-24.3600,-15.4000
0.3518,0.9052,-0.0161,16.4500,-11.3400,-10.5700
0.3148,0.8960,-0.0044,12.1100,-4.4100,-5.2500
0.2689,0.8813,-0.0356,8.1200,3.7800,1.0500
0.2835,0.8652,-0.0825,7.7700,8.4700,7.4200
0.2655,0.8364,-0.0444,9.1000,12.8100,13.5800
0.2235,0.8159,-0.0488,8.7500,20.8600,17.8500
0.2406,0.8169,-0.1074,7.0700,28.6300,21.3500
0.2206,0.7823,-0.0527,6.0900,37.5900,25.2000
0.1723,0.7310,-0.0503,5.1100,50.7500,28.9800
0.1693,0.6808,-0.0527,3.7800,60.4800,32.2000
0.1215,0.6046,0.0088,3.5000,66.2900,36.1200
0.1161,0.5534,0.0112,10.0800,74.4800,42.1400
0.1649,0.5378,-0.1249,16.5200,79.3800,49.3500
0.2191,0.5553,-0.0415,22.2600,82.3200,57.1200
0.3040,0.5763,-0.1181,20.1600,82.6000,61.8100
0.4377,0.5329,-0.1430,13.5800,83.0900,65.1000
0.6422,0.4470,-0.2386,9.3800,79.2400,68.9500
1.2093,0.3767,-0.5348,11.9700,76.9300,66.5000
0.7110,0.3572,-0.2767,1.1900,50.3300,54.1100
2.0491,0.4363,-2.3336,-50.2600,2.3100,-16.1000
2.7152,0.9638,0.5856,78.6800,-38.7100,34.8600
-1.2112,1.7197,-0.2542,7.0000,226.3100,133.7000
-3.0202,1.3386,-0.5675,99.4700,121.1000,106.4000
-2.2453,1.6563,-0.0024,95.9000,-40.3900,70.5600
-0.7383,1.7885,0.2206,-7.4900,-116.1300,86.1000
-0.2606,1.3732,0.1640,5.3900,-45.5700,88.0600
-0.1791,1.2088,0.8150,78.6800,-74.9700,82.4600
-0.5729,1.3976,0.9326,23.0300,-76.5100,106.0500
