aX,aY,aZ,gX,gY,gZ
0.1000,0.9453,-0.1557,4.4100,-1.1900,0.2100
0.0956,0.9492,-0.1606,4.2000,-2.0300,0.4200
0.0859,0.9487,-0.1547,3.2900,-3.3600,0.7000
0.0937,0.9453,-0.1508,3.9900,-3.9900,0.9800
0.0971,0.9516,-0.1401,5.0400,-4.2000,1.6800
0.0956,0.9579,-0.1362,3.7100,-3.9200,1.4000
0.1122,0.9570,-0.1391,3.8500,-3.9200,1.1900
0.1030,0.9545,-0.1396,3.2900,-2.9400,1.4000
0.1039,0.9492,-0.1440,3.2200,-3.9900,1.6100
0.1000,0.9496,-0.1474,3.9200,-3.9900,2.1700
0.0976,0.9516,-0.1557,3.2200,-4.4800,2.0300
0.0961,0.9482,-0.1562,3.0800,-4.6200,1.9600
0.0942,0.9448,-0.1698,3.6400,-4.9700,1.9600
0.0996,0.9487,-0.1640,3.7800,-5.8800,2.1700
0.1064,0.9457,-0.1532,3.2900,-5.0400,2.5200
0.1083,0.9599,-0.1498,3.8500,-2.8000,2.2400
0.1074,0.9638,-0.1449,1.6100,-3.0100,1.1900
0.1025,0.9540,-0.1518,0.4900,-1.9600,1.4700
0.1098,0.9516,-0.1601,1.4700,-1.6100,2.4500
0.1049,0.9536,-0.1449,1.1200,-0.9800,2.1700
0.1137,0.9536,-0.1479,0.1400,-0.4200,1.4000
0.1039,0.9482,-0.1508,0.7000,-0.1400,1.7500
0.0981,0.9482,-0.1479,0.4900,-1.6100,1.6800
0.1093,0.9487,-0.1435,0.7700,-1.9600,1.4000
0.1279,0.9526,-0.1449,0.7000,-1.3300,1.1200
0.1293,0.9506,-0.1386,0.4900,0.0700,0.4200
0.1225,0.9462,-0.1401,0.8400,0.5600,-0.1400
0.1181,0.9487,-0.1337,1.4700,0.7700,-0.2800
0.1083,0.9531,-0.1352,1.0500,0.8400,-0.9100
0.1196,0.9501,-0.1376,1.0500,0.2100,-1.4700
0.1103,0.9433,-0.1366,1.0500,-0.1400,-1.3300
0.1078,0.9389,-0.1313,2.4500,-1.6800,-0.9800
0.1118,0.9457,-0.1181,3.5700,-1.9600,-0.7000
0.1132,0.9589,-0.1196,3.7800,-1.4700,-1.1200
0.1152,0.9633,-0.1410,2.1000,-1.5400,-1.8200
0.1098,0.9487,-0.1498,2.2400,-1.8200,-1.8900
0.1020,0.9365,-0.1601,3.9200,-2.5200,-1.2600
0.0927,0.9389,-0.1630,4.6900,-4.0600,-1.1200
0.1069,0.9428,-0.1503,5.0400,-5.9500,-1.7500
0.1171,0.9423,-0.1342,5.6000,-5.3900,-1.4700
0.1161,0.9487,-0.1318,6.1600,-4.6900,-1.5400
0.1074,0.9579,-0.1488,5.5300,-5.6700,-2.1700
0.0981,0.9560,-0.1586,4.0600,-7.0700,-2.8000
0.1035,0.9433,-0.1708,3.9900,-7.4200,-3.0800
0.1108,0.9379,-0.1742,5.4600,-6.0900,-2.8700
0.1171,0.9409,-0.1747,6.3700,-4.6200,-3.1500
