aX,aY,aZ,gX,gY,gZ
2.4595,9.0692,-1.5122,3.0800,-0.9100,-0.1400
2.4546,9.0731,-1.5024,2.6600,-1.1200,0.0700
2.4124,9.0692,-1.5406,2.9400,-1.4700,0.0700
2.4360,9.0927,-1.5220,2.5200,-2.0300,0.2100
2.4507,9.0780,-1.5602,2.3100,-2.0300,0.2100
2.4840,9.0927,-1.5269,2.5200,-1.8900,0.1400
2.5125,9.0878,-1.5318,2.0300,-1.7500,-0.0700
2.5027,9.0692,-1.5073,2.3100,-1.3300,-0.3500
2.4840,9.0780,-1.5318,2.3800,-1.3300,-0.5600
2.4546,9.0447,-1.5122,2.3100,-1.1200,-0.2800
2.3977,9.0731,-1.5318,2.8000,-1.4700,-0.1400
2.4026,9.0780,-1.5749,2.4500,-1.7500,0.4200
2.4546,9.0731,-1.5220,2.4500,-2.1000,0.7000
2.4595,9.0829,-1.5269,2.4500,-1.9600,0.4900
2.4791,9.0780,-1.5269,2.3100,-1.9600,0.3500
2.5556,9.0878,-1.5455,0.6300,-1.8900,0.1400
2.4840,9.1408,-1.6514,-1.3300,-3.1500,-0.0700
2.4409,9.2506,-1.7564,-9.0300,-6.4400,0.5600
2.3781,9.4467,-1.7897,-20.3000,-12.5300,-0.2100
2.4595,9.3320,-1.5406,-23.1000,-17.2900,-3.5700
2.4311,9.0780,-1.4161,-21.4900,-18.2700,-3.9900
2.2496,9.1123,-1.5504,-24.2200,-18.1300,-2.3800
2.3595,9.3124,-1.4210,-28.9100,-19.1800,-3.4300
2.8135,9.3850,-1.1817,-30.9400,-20.5100,-6.1600
2.6605,9.0643,-1.1817,-26.7400,-19.6000,-7.9100
2.1055,8.5995,-1.0101,-14.7000,-14.6300,-4.4100
2.2732,8.6338,-1.0866,-5.4600,-4.6200,1.6800
2.2830,8.9348,-1.1052,-0.4200,-1.6100,6.0200
2.3163,9.1163,-1.2013,0.1400,-2.4500,6.7200
2.3399,9.1643,-1.1346,1.2600,-4.7600,5.8100
2.3644,9.0692,-1.1768,3.0100,-3.5000,6.3000
2.2781,9.0015,-1.1533,5.7400,-1.1200,8.8900
2.2879,9.0545,-1.1533,7.8400,0.7000,10.8500
2.4742,9.2075,-1.2347,6.1600,0.2100,10.4300
2.4693,9.2555,-1.2199,3.5000,-2.3800,8.4700
2.5703,9.1977,-1.2062,0.4900,-4.2700,7.7000
2.6037,9.1123,-1.2160,-1.0500,-4.2700,7.0700
2.5890,9.0692,-1.1817,-0.7700,-3.7100,6.7200
2.7037,9.0349,-1.1435,-0.0700,-2.9400,6.0900
2.6272,9.0643,-1.2062,1.2600,-2.4500,5.0400
2.4929,8.9966,-1.1964,3.2900,-1.5400,4.9000
2.4213,8.9878,-1.1964,5.6000,-0.6300,5.8800
2.4262,9.0162,-1.1680,7.6300,-0.7000,6.7200
2.4644,9.0545,-1.2111,8.2600,-1.1200,7.7000
2.4791,9.1123,-1.2199,7.7000,-2.1000,7.8400
2.5507,9.1408,-1.1964,6.7200,-2.5900,7.6300
2.5360,9.1163,-1.2249,6.0900,-2.8000,7.6300
2.5076,9.0976,-1.2494,5.6000,-3.2200,8.0500
2.4840,9.0594,-1.2680,5.6000,-3.9900,8.4700
2.5890,9.0731,-1.2925,5.6000,-5.3200,8.8200
2.6654,9.0643,-1.2964,5.0400,-6.0200,9.3100
2.7517,9.0260,-1.2249,5.3900,-5.6000,9.0300
2.7900,9.0349,-1.1915,5.6000,-4.9700,8.8200
2.7566,9.0643,-1.2298,6.5100,-3.7100,8.1900
2.7468,9.0349,-1.2396,6.1600,-3.7800,8.2600
2.6704,9.0878,-1.2347,4.9700,-4.6900,8.6100
2.8135,9.0594,-1.2543,4.0600,-6.4400,8.6100
2.7370,9.0731,-1.2631,1.5400,-8.6800,9.2400
2.6517,9.0878,-1.1346,0.3500,-9.4500,9.5200
2.7998,9.0976,-1.0572,-0.2100,-11.6900,9.3100
3.0391,9.1261,-1.0915,-1.4700,-12.9500,9.7300
2.8910,9.0113,-1.1199,-1.8900,-12.6000,9.2400
2.7037,8.8682,-1.1248,0.5600,-11.2700,9.7300
2.7468,8.8436,-1.1582,3.5700,-10.6400,10.7100
2.9959,8.9299,-1.0915,4.2700,-11.1300,11.8300
3.1636,9.0260,-1.0719,3.6400,-12.7400,11.8300
2.9047,8.9927,-1.3259,4.6200,-13.3700,10.1500
2.7282,8.8250,-1.3974,7.1400,-12.3900,10.9200
2.7468,8.7671,-1.3543,9.1000,-11.4100,12.6700
2.7468,8.8534,-1.4122,10.1500,-11.9000,13.7200
2.8567,8.9250,-1.5357,8.8900,-13.7200,14.4200
2.8479,8.9113,-1.5838,7.9800,-15.8900,15.1900
2.5742,8.9250,-1.4936,6.3000,-16.9400,15.8200
2.5458,8.8250,-1.6220,8.1200,-18.3400,17.5700
2.5742,8.8731,-1.7613,9.2400,-20.5800,19.3200
2.6654,8.9446,-1.9045,8.6100,-22.7500,21.2100
2.6605,8.9299,-2.0006,7.8400,-25.4800,22.1900
2.9626,8.9201,-1.9290,5.5300,-26.6000,23.5200
3.2970,8.9446,-1.8995,3.1500,-24.5000,23.2400
3.3166,9.0064,-1.9858,1.7500,-19.6700,20.7900
3.4215,8.9446,-1.9192,1.4700,-14.7000,19.5300
3.5127,8.8387,-1.8662,2.1700,-9.4500,18.5500
3.4078,8.8534,-1.7750,1.0500,-5.3900,17.7800
3.3500,8.8819,-1.6220,1.1900,-3.9200,17.9900
3.3784,8.8485,-1.5504,0.7000,-3.9200,18.9000
3.1872,8.8103,-1.5700,2.3100,-3.9200,19.9500
3.3882,8.6808,-1.5318,3.2200,-3.3600,21.4900
3.3931,8.8152,-1.4837,4.1300,-2.5200,22.1900
3.2735,8.8005,-1.6799,7.0000,-1.4000,20.7200
2.9714,8.7191,-1.5838,11.6900,-0.6300,20.5100
3.1823,8.3317,-2.0869,14.0000,9.5200,20.7900
4.2404,8.7770,-1.3739,10.5700,9.5900,20.7900
3.8050,9.2222,-1.4357,11.9000,16.9400,18.8300
3.7569,8.9535,-1.4122,11.2700,18.7600,16.3800
3.4363,8.6622,-1.6603,14.8400,20.9300,16.5200
3.2205,8.5377,-1.7279,16.7300,19.6700,21.2100
3.3117,8.7142,-1.7466,18.1300,17.5000,25.2000
3.6039,8.9397,-1.4641,14.0000,13.9300,28.5600
3.3264,9.2075,-2.1251,13.6500,18.6900,31.2900
3.9197,8.8387,-1.8907,13.5100,20.7200,34.9300
4.0394,8.9731,-1.7995,12.6000,25.2000,38.0100
3.5941,8.9731,-1.6897,14.6300,25.2000,38.0800
3.4696,9.0211,-1.8809,17.0800,22.6100,40.1800
3.7805,9.1506,-1.8142,13.2300,16.9400,46.9000
4.2973,9.2889,-1.5220,8.6800,10.0800,51.3800
4.5944,9.5762,-1.4308,5.8100,6.0900,53.5500
4.7190,9.8302,-1.6034,4.6900,6.0900,52.7100
4.5944,9.7576,-2.1006,7.2100,11.1300,52.2200
4.6562,9.9067,-2.7282,14.9100,18.3400,50.2600
5.9624,10.3607,-0.9238,13.5100,24.2900,50.1900
6.1929,11.5140,0.2628,18.1300,14.7700,55.6500
6.3027,12.1887,0.7326,1.8200,12.1800,58.8000
0.9424,11.7915,-4.1208,5.4600,21.4900,53.6200
3.9717,7.5374,-2.7233,10.0800,26.8100,71.2600
5.0347,11.0217,-2.8861,6.7900,16.5900,97.4400
4.0482,11.0168,-4.6327,-0.8400,27.7200,98.2100
5.1250,9.8586,-4.5513,-5.8800,32.4100,89.6700
5.1112,10.2313,-4.1727,-18.7600,34.8600,96.8100
4.8857,9.4752,-4.1492,-20.5100,40.3200,97.1600
4.4463,9.7056,-3.8089,-18.2700,48.0200,92.1900
5.1642,9.9106,-3.3598,-20.3700,55.1600,97.9300
5.2789,10.1793,-3.2107,-23.7300,65.7300,105.3500
4.0678,10.3038,-3.1685,-24.9200,71.1900,110.3200
3.3401,10.3803,-3.5510,-23.3100,73.9900,114.3800
3.8187,11.0688,-3.7618,-24.5000,72.4500,120.9600
3.2538,12.2181,-4.1590,-23.8700,79.8000,126.8400
2.6321,13.5528,-5.2211,-21.7700,96.0400,130.6900
1.9809,15.2709,-6.3174,-22.5400,116.6200,136.1500
1.2631,16.6066,-6.8343,-23.3800,147.7700,139.8600
-0.3305,17.9315,-6.3557,-37.4500,184.8000,138.8800
-1.5357,20.6832,-5.2358,-52.5000,210.6300,144.5500
-1.2249,18.5208,-3.3215,-44.3100,205.4500,162.4700
7.4609,15.6396,1.4210,-23.1700,158.8300,209.6500
11.0835,13.2753,-3.1156,-35.9100,108.0100,227.2200
-2.1820,14.2089,-5.9105,-4.5500,97.7200,182.9800
-3.1636,12.5290,-6.0301,-21.5600,24.2200,171.5700
-0.4933,8.5377,-5.6663,-20.6500,12.6700,164.6400
2.3879,6.0154,-5.8575,-48.6500,-5.9500,146.7200
4.5267,7.3128,-1.4455,-142.4500,-56.0700,110.5300
-1.3396,8.1935,-5.5319,-115.2900,-97.5800,30.8700
-10.7393,6.9970,-4.9288,-76.7900,-95.1300,-39.2000
-7.9110,5.0053,-3.7373,-8.7500,-118.0900,-102.2700
-4.6807,3.6510,-3.1685,10.2200,-114.8000,-122.9900
-3.5696,3.5657,-2.0770,35.0700,-102.2000,-119.2800
-3.9815,3.9815,-1.6652,34.5100,-93.5200,-133.6300
-4.7376,4.8239,-1.2876,69.0900,-82.7400,-175.2800
-5.4701,6.4077,-1.4308,97.7200,-74.0600,-219.4500
-5.4839,7.4942,-1.5122,111.5800,-64.9600,-253.4700
-4.0531,8.3945,-0.6943,119.4900,-55.3000,-281.8200
-2.9714,9.5379,0.0333,124.9500,-36.7500,-303.3800
-2.7282,10.5863,1.0817,132.4400,-23.2400,-321.3700
-2.5027,11.1462,1.7083,140.9800,-29.9600,-341.5300
-2.6988,12.3809,1.7662,149.3800,-49.7000,-361.5500
-2.7900,14.2324,1.6083,132.8600,-74.5500,-377.2300
-1.7995,15.3141,1.5406,129.4300,-109.2700,-389.4800
2.9577,15.7828,1.1052,136.7800,-128.7300,-393.6800
8.1591,17.7647,1.3396,121.0300,-115.0800,-377.7900
14.0412,19.4966,1.1964,102.2000,-112.4200,-350.8400
19.5878,19.6211,2.6753,77.0000,-107.5200,-323.2600
26.6270,18.4443,4.4503,57.6800,-105.0700,-274.4700
36.0355,16.4820,4.3689,30.1700,-84.0700,-214.4100
39.8258,14.0127,4.4316,-9.1000,-73.3600,-142.3800
41.8028,6.4704,5.6182,-44.9400,-63.7000,-78.0500
41.8361,0.6600,5.9722,-44.6600,-46.9700,3.5700
37.9459,-0.1049,5.1250,-52.3600,-54.5300,78.8200
33.7869,-2.3114,3.2882,-78.6100,-101.4300,159.6700
42.1804,-11.1845,-16.4104,28.2800,-150.0100,191.8700
51.2211,13.3616,3.0008,-92.4000,-29.7500,124.6700
-4.4846,41.9940,-1.1631,-369.4600,53.9000,110.8800
-26.8957,18.7121,10.0067,13.0200,37.1700,189.6300
-0.8993,-5.8193,4.7376,44.2400,16.0300,104.0900
8.0258,-5.7663,-3.6275,157.5700,50.1200,167.0200
3.5510,10.0548,-6.8048,82.1100,-10.3600,80.0800
13.7685,6.5518,3.7422,-18.4800,-9.7300,210.4900
9.5478,7.0157,0.5747,-9.6600,-27.8600,217.0000
1.0287,12.5339,0.1393,3.5000,-56.7000,157.1500
2.0918,11.2316,-2.8567,-2.8700,-65.8700,115.9900
