aX,aY,aZ,gX,gY,gZ
2.4595,9.0692,-1.5122,3.08,-0.91,-0.14
2.4546,9.0731,-1.5024,2.66,-1.12,0.07
2.4124,9.0692,-1.5406,2.94,-1.47,0.07
2.436,9.0927,-1.522,2.52,-2.03,0.21
2.4507,9.078,-1.5602,2.31,-2.03,0.21
2.484,9.0927,-1.5269,2.52,-1.89,0.14
2.5125,9.0878,-1.5318,2.03,-1.75,-0.07
2.5027,9.0692,-1.5073,2.31,-1.33,-0.35
2.484,9.078,-1.5318,2.38,-1.33,-0.56
2.4546,9.0447,-1.5122,2.31,-1.12,-0.28
2.3977,9.0731,-1.5318,2.8,-1.47,-0.14
2.4026,9.078,-1.5749,2.45,-1.75,0.42
2.4546,9.0731,-1.522,2.45,-2.1,0.7
2.4595,9.0829,-1.5269,2.45,-1.96,0.49
2.4791,9.078,-1.5269,2.31,-1.96,0.35
2.5556,9.0878,-1.5455,0.63,-1.89,0.14
2.484,9.1408,-1.6514,-1.33,-3.15,-0.07
2.4409,9.2506,-1.7564,-9.03,-6.44,0.56
2.3781,9.4467,-1.7897,-20.3,-12.53,-0.21
2.4595,9.332,-1.5406,-23.1,-17.29,-3.57
2.4311,9.078,-1.4161,-21.49,-18.27,-3.99
2.2496,9.1123,-1.5504,-24.22,-18.13,-2.38
2.3595,9.3124,-1.421,-28.91,-19.18,-3.43
2.8135,9.385,-1.1817,-30.94,-20.51,-6.16
2.6605,9.0643,-1.1817,-26.74,-19.6,-7.91
2.1055,8.5995,-1.0101,-14.7,-14.63,-4.41
2.2732,8.6338,-1.0866,-5.46,-4.62,1.68
2.283,8.9348,-1.1052,-0.42,-1.61,6.02
2.3163,9.1163,-1.2013,0.14,-2.45,6.72
2.3399,9.1643,-1.1346,1.26,-4.76,5.81
2.3644,9.0692,-1.1768,3.01,-3.5,6.3
2.2781,9.0015,-1.1533,5.74,-1.12,8.89
2.2879,9.0545,-1.1533,7.84,0.7,10.85
2.4742,9.2075,-1.2347,6.16,0.21,10.43
2.4693,9.2555,-1.2199,3.5,-2.38,8.47
2.5703,9.1977,-1.2062,0.49,-4.27,7.7
2.6037,9.1123,-1.216,-1.05,-4.27,7.07
2.589,9.0692,-1.1817,-0.77,-3.71,6.72
2.7037,9.0349,-1.1435,-0.07,-2.94,6.09
2.6272,9.0643,-1.2062,1.26,-2.45,5.04
2.4929,8.9966,-1.1964,3.29,-1.54,4.9
2.4213,8.9878,-1.1964,5.6,-0.63,5.88
2.4262,9.0162,-1.168,7.63,-0.7,6.72
2.4644,9.0545,-1.2111,8.26,-1.12,7.7
2.4791,9.1123,-1.2199,7.7,-2.1,7.84
2.5507,9.1408,-1.1964,6.72,-2.59,7.63
2.536,9.1163,-1.2249,6.09,-2.8,7.63
2.5076,9.0976,-1.2494,5.6,-3.22,8.05
2.484,9.0594,-1.268,5.6,-3.99,8.47
2.589,9.0731,-1.2925,5.6,-5.32,8.82
2.6654,9.0643,-1.2964,5.04,-6.02,9.31
2.7517,9.026,-1.2249,5.39,-5.6,9.03
2.79,9.0349,-1.1915,5.6,-4.97,8.82
2.7566,9.0643,-1.2298,6.51,-3.71,8.19
2.7468,9.0349,-1.2396,6.16,-3.78,8.26
2.6704,9.0878,-1.2347,4.97,-4.69,8.61
2.8135,9.0594,-1.2543,4.06,-6.44,8.61
2.737,9.0731,-1.2631,1.54,-8.68,9.24
2.6517,9.0878,-1.1346,0.35,-9.45,9.52
2.7998,9.0976,-1.0572,-0.21,-11.69,9.31
3.0391,9.1261,-1.0915,-1.47,-12.95,9.73
2.891,9.0113,-1.1199,-1.89,-12.6,9.24
2.7037,8.8682,-1.1248,0.56,-11.27,9.73
2.7468,8.8436,-1.1582,3.57,-10.64,10.71
2.9959,8.9299,-1.0915,4.27,-11.13,11.83
3.1636,9.026,-1.0719,3.64,-12.74,11.83
2.9047,8.9927,-1.3259,4.62,-13.37,10.15
2.7282,8.825,-1.3974,7.14,-12.39,10.92
2.7468,8.7671,-1.3543,9.1,-11.41,12.67
2.7468,8.8534,-1.4122,10.15,-11.9,13.72
2.8567,8.925,-1.5357,8.89,-13.72,14.42
2.8479,8.9113,-1.5838,7.98,-15.89,15.19
2.5742,8.925,-1.4936,6.3,-16.94,15.82
2.5458,8.825,-1.622,8.12,-18.34,17.57
2.5742,8.8731,-1.7613,9.24,-20.58,19.32
2.6654,8.9446,-1.9045,8.61,-22.75,21.21
2.6605,8.9299,-2.0006,7.84,-25.48,22.19
2.9626,8.9201,-1.929,5.53,-26.6,23.52
3.297,8.9446,-1.8995,3.15,-24.5,23.24
3.3166,9.0064,-1.9858,1.75,-19.67,20.79
3.4215,8.9446,-1.9192,1.47,-14.7,19.53
3.5127,8.8387,-1.8662,2.17,-9.45,18.55
3.4078,8.8534,-1.775,1.05,-5.39,17.78
3.35,8.8819,-1.622,1.19,-3.92,17.99
3.3784,8.8485,-1.5504,0.7,-3.92,18.9
3.1872,8.8103,-1.57,2.31,-3.92,19.95
3.3882,8.6808,-1.5318,3.22,-3.36,21.49
3.3931,8.8152,-1.4837,4.13,-2.52,22.19
3.2735,8.8005,-1.6799,7.0,-1.4,20.72
2.9714,8.7191,-1.5838,11.69,-0.63,20.51
3.1823,8.3317,-2.0869,14.0,9.52,20.79
4.2404,8.777,-1.3739,10.57,9.59,20.79
3.805,9.2222,-1.4357,11.9,16.94,18.83
3.7569,8.9535,-1.4122,11.27,18.76,16.38
3.4363,8.6622,-1.6603,14.84,20.93,16.52
3.2205,8.5377,-1.7279,16.73,19.67,21.21
3.3117,8.7142,-1.7466,18.13,17.5,25.2
3.6039,8.9397,-1.4641,14.0,13.93,28.56
3.3264,9.2075,-2.1251,13.65,18.69,31.29
3.9197,8.8387,-1.8907,13.51,20.72,34.93
4.0394,8.9731,-1.7995,12.6,25.2,38.01
3.5941,8.9731,-1.6897,14.63,25.2,38.08
3.4696,9.0211,-1.8809,17.08,22.61,40.18
3.7805,9.1506,-1.8142,13.23,16.94,46.9
4.2973,9.2889,-1.522,8.68,10.08,51.38
4.5944,9.5762,-1.4308,5.81,6.09,53.55
4.719,9.8302,-1.6034,4.69,6.09,52.71
4.5944,9.7576,-2.1006,7.21,11.13,52.22
4.6562,9.9067,-2.7282,14.91,18.34,50.26
5.9624,10.3607,-0.9238,13.51,24.29,50.19
6.1929,11.514,0.2628,18.13,14.77,55.65
6.3027,12.1887,0.7326,1.82,12.18,58.8
0.9424,11.7915,-4.1208,5.46,21.49,53.62
3.9717,7.5374,-2.7233,10.08,26.81,71.26
5.0347,11.0217,-2.8861,6.79,16.59,97.44
4.0482,11.0168,-4.6327,-0.84,27.72,98.21
5.125,9.8586,-4.5513,-5.88,32.41,89.67
5.1112,10.2313,-4.1727,-18.76,34.86,96.81
4.8857,9.4752,-4.1492,-20.51,40.32,97.16
4.4463,9.7056,-3.8089,-18.27,48.02,92.19
5.1642,9.9106,-3.3598,-20.37,55.16,97.93
5.2789,10.1793,-3.2107,-23.73,65.73,105.35
4.0678,10.3038,-3.1685,-24.92,71.19,110.32
3.3401,10.3803,-3.551,-23.31,73.99,114.38
3.8187,11.0688,-3.7618,-24.5,72.45,120.96
3.2538,12.2181,-4.159,-23.87,79.8,126.84
2.6321,13.5528,-5.2211,-21.77,96.04,130.69
1.9809,15.2709,-6.3174,-22.54,116.62,136.15
1.2631,16.6066,-6.8343,-23.38,147.77,139.86
-0.3305,17.9315,-6.3557,-37.45,184.8,138.88
-1.5357,20.6832,-5.2358,-52.5,210.63,144.55
-1.2249,18.5208,-3.3215,-44.31,205.45,162.47
7.4609,15.6396,1.421,-23.17,158.83,209.65
11.0835,13.2753,-3.1156,-35.91,108.01,227.22
-2.182,14.2089,-5.9105,-4.55,97.72,182.98
-3.1636,12.529,-6.0301,-21.56,24.22,171.57
-0.4933,8.5377,-5.6663,-20.65,12.67,164.64
2.3879,6.0154,-5.8575,-48.65,-5.95,146.72
4.5267,7.3128,-1.4455,-142.45,-56.07,110.53
-1.3396,8.1935,-5.5319,-115.29,-97.58,30.87
-10.7393,6.997,-4.9288,-76.79,-95.13,-39.2
-7.911,5.0053,-3.7373,-8.75,-118.09,-102.27
-4.6807,3.651,-3.1685,10.22,-114.8,-122.99
-3.5696,3.5657,-2.077,35.07,-102.2,-119.28
-3.9815,3.9815,-1.6652,34.51,-93.52,-133.63
-4.7376,4.8239,-1.2876,69.09,-82.74,-175.28
-5.4701,6.4077,-1.4308,97.72,-74.06,-219.45
-5.4839,7.4942,-1.5122,111.58,-64.96,-253.47
-4.0531,8.3945,-0.6943,119.49,-55.3,-281.82
-2.9714,9.5379,0.0333,124.95,-36.75,-303.38
-2.7282,10.5863,1.0817,132.44,-23.24,-321.37
-2.5027,11.1462,1.7083,140.98,-29.96,-341.53
-2.6988,12.3809,1.7662,149.38,-49.7,-361.55
-2.79,14.2324,1.6083,132.86,-74.55,-377.23
-1.7995,15.3141,1.5406,129.43,-109.27,-389.48
2.9577,15.7828,1.1052,136.78,-128.73,-393.68
8.1591,17.7647,1.3396,121.03,-115.08,-377.79
14.0412,19.4966,1.1964,102.2,-112.42,-350.84
19.5878,19.6211,2.6753,77.0,-107.52,-323.26
26.627,18.4443,4.4503,57.68,-105.07,-274.47
36.0355,16.482,4.3689,30.17,-84.07,-214.41
39.8258,14.0127,4.4316,-9.1,-73.36,-142.38
41.8028,6.4704,5.6182,-44.94,-63.7,-78.05
41.8361,0.66,5.9722,-44.66,-46.97,3.57
37.9459,-0.1049,5.125,-52.36,-54.53,78.82
33.7869,-2.3114,3.2882,-78.61,-101.43,159.67
42.1804,-11.1845,-16.4104,28.28,-150.01,191.87
-26.8957,18.7121,10.0067,13.02,37.17,189.63
-0.8993,-5.8193,4.7376,44.24,16.03,104.09
8.0258,-5.7663,-3.6275,157.57,50.12,167.02
3.551,10.0548,-6.8048,82.11,-10.36,80.08
13.7685,6.5518,3.7422,-18.48,-9.73,210.49
9.5478,7.0157,0.5747,-9.66,-27.86,217.0
1.0287,12.5339,0.1393,3.5,-56.7,157.15
2.0918,11.2316,-2.8567,-2.87,-65.87,115.99
4.9965,7.6855,-3.5029,-18.69,-44.94,128.66
6.1684,5.58,-1.0189,-3.85,-24.71,135.45
6.5803,6.0301,-1.7132,19.81,4.69,140.63
7.9346,9.131,-1.0768,31.43,30.03,132.02
6.3125,10.0832,-2.0104,6.23,18.83,109.55
5.4751,9.0878,-2.2496,-13.3,19.53,77.14
6.3743,8.0974,-1.8995,-7.84,36.12,59.22
8.1258,7.5805,-3.2784,4.41,38.64,61.74
7.2314,8.2788,-1.9427,3.22,38.43,61.32
6.0733,8.5279,-1.7799,5.6,27.44,56.0
6.1017,9.0545,-1.9907,4.13,20.79,54.32
6.4175,9.284,-2.5076,5.32,12.39,58.31
6.7617,9.5713,-2.6851,8.82,10.08,66.5
6.6234,9.5046,-2.9626,13.23,14.14,66.78
6.8431,9.4516,-3.3019,18.97,23.87,69.02
8.7671,11.4375,-1.8231,7.07,32.06,77.07
4.6042,8.7819,-2.13,18.76,53.69,51.24
5.3407,7.8914,-3.9717,21.07,61.74,46.13
9.7292,11.7729,-4.2257,19.32,58.38,65.31
7.4844,10.6147,-3.4215,33.46,59.15,53.62
5.9242,11.4277,-2.2683,37.1,77.7,50.05
6.2213,13.1605,-3.1489,33.95,80.01,52.57
6.2066,13.5047,-3.0528,32.55,79.52,57.61
6.0017,14.0314,-2.6419,26.04,91.35,69.16
5.7761,14.8306,-3.8089,19.18,107.31,79.8
5.0632,16.1466,-5.48,23.87,118.3,92.54
2.9675,17.9226,-7.1255,22.33,122.08,99.54
0.455,20.387,-7.4276,-22.33,115.71,96.39
-1.6799,20.4635,-5.3986,-43.68,125.65,70.63
-2.5703,17.2332,-3.1921,-50.54,137.83,59.85
-3.5892,13.5342,-1.1003,-52.71,153.65,70.56
-5.4221,14.3854,0.2108,-43.68,150.71,104.16
-0.8708,12.0553,3.0911,36.26,97.72,189.0
9.8341,12.8781,-4.4552,7.42,74.69,248.85
1.4357,20.7411,-7.504,-3.64,115.29,207.62
-6.6283,23.9567,-11.107,-3.22,105.0,189.14
-6.7529,19.2044,-10.6049,17.01,81.41,208.67
-6.9725,14.2569,-11.8209,86.8,4.55,207.62
-0.9522,12.1269,-10.3509,42.35,-57.75,214.48
6.241,11.1698,-14.5815,-75.11,-66.71,213.43
1.3494,18.3433,-10.5716,-207.55,-31.92,66.36
-8.523,17.1038,-4.3836,-183.75,-69.65,-27.72
-11.2365,9.9018,-2.2202,-111.44,-126.42,-49.21
-9.4183,2.8184,-2.6419,-99.47,-133.49,-57.19
-7.7963,1.6554,-1.9907,-53.13,-126.91,-123.34
-7.6904,3.2686,-0.5021,4.9,-113.54,-179.76
-7.5756,6.135,-0.053,10.64,-108.57,-225.33
