aX,aY,aZ,gX,gY,gZ
1.2827,9.3604,-0.9856,2.1000,-0.7700,-0.2800
1.3013,9.3418,-0.9954,2.1700,-0.8400,-0.2800
1.2925,9.3604,-0.9767,2.1700,-0.6300,-0.2800
1.2925,9.3516,-0.9807,2.1700,-0.2800,-0.5600
1.2964,9.3516,-0.9856,2.2400,-0.2800,-0.4900
1.3062,9.3418,-0.9954,2.2400,-0.2100,-0.5600
1.2925,9.3516,-0.9669,2.3100,0.1400,-0.4200
1.3013,9.3654,-0.9669,2.4500,0.3500,-0.4900
1.3013,9.3850,-0.9807,1.8200,0.4200,-0.3500
1.2778,9.3320,-0.9718,2.0300,0.4200,-0.6300
1.3013,9.3369,-0.9571,2.2400,0.1400,-0.4200
1.3308,9.3752,-0.9856,2.3800,0.5600,-0.4200
1.3013,9.3516,-0.9718,2.3100,1.1900,-0.7000
1.2543,9.3654,-1.0150,1.6800,0.5600,-0.4200
1.2298,9.3124,-0.9718,1.8900,0.1400,-0.2100
1.2396,9.3369,-0.9905,2.3800,-0.1400,-0.2100
1.2543,9.3654,-0.9767,2.1700,-0.2100,-0.0700
1.2778,9.3555,-0.9522,1.8900,-0.9800,0.0000
1.2729,9.3516,-0.9522,1.6800,-0.8400,-0.0700
1.2778,9.3271,-0.9807,1.9600,-1.0500,-0.1400
1.2680,9.3516,-0.9767,1.9600,-0.9800,0.0000
1.2396,9.3516,-0.9620,1.7500,-1.2600,0.0000
1.2494,9.3467,-0.9718,1.8200,-1.4000,0.0700
1.2680,9.3703,-0.9767,1.8900,-1.6100,0.2800
1.2543,9.3467,-0.9424,2.1700,-1.5400,0.1400
1.2925,9.3418,-0.9571,2.2400,-1.5400,0.2100
1.3062,9.3555,-0.9473,2.1000,-1.5400,0.2800
1.3161,9.3604,-0.9571,2.4500,-1.1900,0.0700
1.3111,9.3703,-0.9522,2.4500,-1.0500,0.0700
1.2876,9.3555,-0.9767,2.3100,-1.3300,0.0000
1.2827,9.3467,-0.9807,2.1700,-1.2600,0.0000
1.2827,9.3271,-0.9620,2.5900,-1.1900,0.2100
1.2778,9.3654,-0.9336,2.6600,-1.1900,0.0700
1.3062,9.3899,-0.9375,2.4500,-0.9800,0.0700
1.3161,9.3703,-0.9571,2.3800,-0.7000,-0.1400
1.3062,9.3516,-0.9856,2.3800,-0.5600,-0.1400
1.3210,9.3516,-1.0003,1.9600,-0.4900,-0.2800
1.2964,9.3320,-1.0003,2.4500,-0.1400,-0.4200
1.3308,9.3555,-0.9856,2.7300,0.2800,-0.2100
1.3111,9.3801,-0.9238,3.0800,0.9100,-0.3500
1.2964,9.3899,-0.9424,2.5200,1.2600,-0.6300
1.3111,9.3654,-0.9522,2.1000,1.5400,-0.5600
1.2925,9.3271,-0.9856,2.5900,1.2600,-0.4200
1.2582,9.3173,-0.9905,2.8700,0.4200,-0.2800
1.2494,9.3850,-0.9767,2.5200,-0.2100,-0.8400
1.3396,9.3850,-0.9571,2.5900,0.1400,-0.8400
1.3641,9.3654,-0.9375,2.8000,0.4900,-1.4000
1.3494,9.3801,-0.9620,2.5200,0.9800,-1.6100
