aX,aY,aZ,gX,gY,gZ
1.2827,9.3604,-0.9856,2.1,-0.77,-0.28
1.3013,9.3418,-0.9954,2.17,-0.84,-0.28
1.2925,9.3604,-0.9767,2.17,-0.63,-0.28
1.2925,9.3516,-0.9807,2.17,-0.28,-0.56
1.2964,9.3516,-0.9856,2.24,-0.28,-0.49
1.3062,9.3418,-0.9954,2.24,-0.21,-0.56
1.2925,9.3516,-0.9669,2.31,0.14,-0.42
1.3013,9.3654,-0.9669,2.45,0.35,-0.49
1.3013,9.385,-0.9807,1.82,0.42,-0.35
1.2778,9.332,-0.9718,2.03,0.42,-0.63
1.3013,9.3369,-0.9571,2.24,0.14,-0.42
1.3308,9.3752,-0.9856,2.38,0.56,-0.42
1.3013,9.3516,-0.9718,2.31,1.19,-0.7
1.2543,9.3654,-1.015,1.68,0.56,-0.42
1.2298,9.3124,-0.9718,1.89,0.14,-0.21
1.2396,9.3369,-0.9905,2.38,-0.14,-0.21
1.2543,9.3654,-0.9767,2.17,-0.21,-0.07
1.2778,9.3555,-0.9522,1.89,-0.98,0.0
1.2729,9.3516,-0.9522,1.68,-0.84,-0.07
1.2778,9.3271,-0.9807,1.96,-1.05,-0.14
1.268,9.3516,-0.9767,1.96,-0.98,0.0
1.2396,9.3516,-0.962,1.75,-1.26,0.0
1.2494,9.3467,-0.9718,1.82,-1.4,0.07
1.268,9.3703,-0.9767,1.89,-1.61,0.28
1.2543,9.3467,-0.9424,2.17,-1.54,0.14
1.2925,9.3418,-0.9571,2.24,-1.54,0.21
1.3062,9.3555,-0.9473,2.1,-1.54,0.28
1.3161,9.3604,-0.9571,2.45,-1.19,0.07
1.3111,9.3703,-0.9522,2.45,-1.05,0.07
1.2876,9.3555,-0.9767,2.31,-1.33,0.0
1.2827,9.3467,-0.9807,2.17,-1.26,0.0
1.2827,9.3271,-0.962,2.59,-1.19,0.21
1.2778,9.3654,-0.9336,2.66,-1.19,0.07
1.3062,9.3899,-0.9375,2.45,-0.98,0.07
1.3161,9.3703,-0.9571,2.38,-0.7,-0.14
1.3062,9.3516,-0.9856,2.38,-0.56,-0.14
1.321,9.3516,-1.0003,1.96,-0.49,-0.28
1.2964,9.332,-1.0003,2.45,-0.14,-0.42
1.3308,9.3555,-0.9856,2.73,0.28,-0.21
1.3111,9.3801,-0.9238,3.08,0.91,-0.35
1.2964,9.3899,-0.9424,2.52,1.26,-0.63
1.3111,9.3654,-0.9522,2.1,1.54,-0.56
1.2925,9.3271,-0.9856,2.59,1.26,-0.42
1.2582,9.3173,-0.9905,2.87,0.42,-0.28
1.2494,9.385,-0.9767,2.52,-0.21,-0.84
1.3396,9.385,-0.9571,2.59,0.14,-0.84
1.3641,9.3654,-0.9375,2.8,0.49,-1.4
1.3494,9.3801,-0.962,2.52,0.98,-1.61
1.3543,9.3703,-0.9954,2.03,1.05,-1.96
1.3259,9.3516,-1.0238,1.96,1.26,-2.03
1.2729,9.3271,-1.0336,2.31,0.77,-2.1
1.2494,9.3467,-0.9905,2.66,0.7,-2.24
1.2249,9.3654,-1.0003,2.52,0.28,-2.38
1.2494,9.3604,-0.9189,2.59,0.49,-2.24
1.2582,9.3516,-0.9336,2.8,-0.07,-2.17
1.2347,9.4036,-0.9287,2.17,-0.21,-2.1
1.2396,9.3801,-0.9473,1.96,-0.63,-1.96
1.2062,9.3516,-0.9571,2.17,-0.84,-1.82
1.2111,9.3801,-0.9954,2.31,-1.26,-1.82
1.216,9.3752,-0.9767,2.24,-1.26,-1.68
1.2298,9.3801,-0.9905,2.03,-1.26,-1.82
1.216,9.3604,-1.0052,1.82,-1.4,-1.75
1.2249,9.3516,-0.9767,2.03,-1.33,-1.4
1.2062,9.385,-1.0052,1.82,-1.68,-1.4
1.2013,9.3516,-0.9856,1.68,-1.96,-1.12
1.2249,9.3604,-0.9807,1.82,-1.82,-0.77
1.2199,9.3516,-0.9767,2.03,-1.61,-0.91
1.2445,9.3654,-0.9669,1.89,-1.47,-0.7
1.2543,9.3801,-0.9954,1.68,-1.05,-0.42
1.2249,9.3418,-1.0003,1.82,-0.63,-0.42
1.1915,9.3085,-0.9905,2.17,-0.49,0.14
1.1729,9.3467,-0.9856,2.52,-0.77,0.56
1.1817,9.3801,-0.9042,2.59,-0.63,0.63
1.2199,9.3899,-0.9571,2.1,-0.91,0.56
1.2396,9.3654,-0.9424,1.89,-0.91,0.7
1.2445,9.3271,-0.9473,2.31,-0.56,0.7
1.2631,9.3555,-0.962,2.66,-0.49,0.63
1.2543,9.3703,-0.9767,2.73,-0.49,0.7
1.2494,9.3703,-0.9669,2.59,-0.49,0.63
1.2347,9.3173,-0.9856,2.31,-0.63,0.7
1.2249,9.3369,-0.9856,2.73,-0.49,0.84
1.2582,9.3418,-0.9718,3.29,-0.56,0.77
1.2494,9.3801,-0.962,3.15,-0.63,0.91
1.2013,9.3899,-0.9473,2.94,-0.84,0.91
1.2543,9.385,-0.9718,2.66,-1.12,0.98
1.2543,9.3801,-0.9669,2.59,-0.98,1.12
1.2111,9.3703,-0.9767,2.59,-1.12,1.05
1.216,9.3752,-1.0189,2.38,-1.54,1.26
1.2631,9.3516,-1.0052,2.38,-1.26,1.26
1.2827,9.3555,-1.0003,2.52,-0.91,1.19
1.2964,9.3752,-1.015,2.17,-0.84,1.19
