aX,aY,aZ,gX,gY,gZ
0.7080,9.4232,-0.8855,2.8700,-0.8400,-0.2800
0.6943,9.4183,-0.9189,2.6600,-1.0500,-0.2800
0.7031,9.4036,-0.9042,3.0100,-1.1200,-0.2100
0.6982,9.4085,-0.9091,3.0100,-1.3300,0.0000
0.7129,9.4232,-0.9042,2.8000,-1.3300,-0.1400
0.7414,9.4085,-0.9091,2.8700,-1.4700,-0.3500
0.7178,9.4183,-0.9287,2.7300,-1.4700,-0.3500
0.7228,9.4134,-0.8953,2.9400,-1.2600,-0.3500
0.7326,9.4281,-0.9336,2.8000,-1.0500,-0.4200
0.7277,9.4232,-0.9336,2.9400,-1.0500,-0.2100
0.6943,9.4320,-0.9375,2.7300,-1.3300,-0.2100
0.6845,9.3938,-0.9718,2.8000,-1.4000,0.0000
0.6982,9.4134,-0.9336,3.1500,-2.0300,0.0000
0.7375,9.4281,-0.9287,3.0800,-1.8200,0.0000
0.7326,9.4281,-0.8993,2.9400,-2.0300,0.0000
0.7031,9.4036,-0.9336,2.8700,-1.7500,-0.2100
0.7512,9.4183,-0.9091,2.9400,-1.7500,-0.4200
0.7080,9.4418,-0.8993,2.9400,-1.4700,-0.2800
0.7031,9.4418,-0.9522,2.6600,-1.6800,-0.2800
0.6600,9.4183,-0.9571,2.6600,-1.6800,-0.0700
0.7031,9.4232,-0.9424,2.8000,-1.9600,0.0700
0.6894,9.4183,-0.9473,2.6600,-2.1700,0.4200
0.7178,9.4418,-0.9424,2.3800,-2.3100,0.3500
0.6982,9.4183,-0.9571,1.8200,-2.6600,0.3500
0.7277,9.4036,-0.9718,2.3800,-2.3100,0.4900
0.6943,9.4418,-0.9767,2.3800,-2.5900,0.6300
0.6894,9.4134,-0.9620,1.8900,-2.9400,0.6300
0.6796,9.4085,-0.9571,1.9600,-3.0800,0.7700
0.6982,9.4232,-0.9807,1.8900,-3.2900,0.9100
0.7326,9.3899,-0.9473,2.0300,-3.4300,0.9800
0.7129,9.4085,-0.9571,2.3100,-3.2200,1.0500
0.7277,9.4418,-0.9718,1.9600,-3.1500,1.1200
0.7129,9.4320,-0.9375,1.8200,-3.0800,1.1200
0.7277,9.4134,-1.0052,1.7500,-3.0800,1.1900
0.7375,9.4085,-0.9767,1.5400,-2.8700,1.1900
0.7375,9.3987,-0.9473,1.6800,-2.5900,0.9800
0.7845,9.4369,-0.9620,1.6800,-2.1700,0.9100
0.7610,9.4467,-0.9375,1.2600,-1.8900,0.9800
0.7894,9.4183,-0.9042,1.3300,-1.4000,0.7700
0.7992,9.4183,-0.9424,1.4000,-1.4000,0.8400
0.7561,9.4036,-0.9424,1.1900,-1.2600,0.8400
0.7178,9.4134,-0.9522,1.4700,-1.1900,0.7000
0.7326,9.4036,-0.9238,1.3300,-1.4000,0.8400
0.7659,9.4183,-0.9620,1.4000,-1.3300,0.9100
0.7659,9.4281,-0.9091,1.2600,-0.9800,0.6300
0.7659,9.3987,-0.9287,1.1900,-0.7000,0.4200
0.7561,9.4036,-0.9140,1.4000,-0.6300,0.4900
0.7708,9.4467,-0.8953,1.3300,-0.5600,0.5600
0.7375,9.4232,-0.8904,1.1900,-0.2100,0.6300
0.6894,9.4036,-0.9042,1.1200,-0.7700,0.4200
0.7375,9.3654,-0.8993,1.5400,-0.6300,0.2100
0.8179,9.3987,-0.9238,1.9600,-0.2800,0.3500
0.8041,9.4566,-0.8806,1.7500,0.2800,0.0700
0.7796,9.4369,-0.9091,1.4700,0.1400,-0.1400
0.7708,9.4085,-0.9189,1.8200,0.2100,-0.4200
0.7796,9.3987,-0.9042,2.1700,0.2100,-0.2800
0.7796,9.4134,-0.8904,2.1700,0.5600,-0.4900
0.7943,9.4467,-0.8757,2.2400,0.5600,-0.4900
0.7659,9.4134,-0.9091,2.2400,0.6300,-0.7700
0.7375,9.4183,-0.9336,2.5900,0.5600,-0.6300
0.7414,9.3987,-0.8904,2.6600,0.2100,-0.5600
0.7375,9.4134,-0.8571,2.8000,0.2800,-0.6300
0.7277,9.4467,-0.9522,2.5200,-1.1900,-1.1200
0.6561,9.5330,-1.1866,1.5400,-6.3000,-2.5200
0.5502,9.8155,-1.3827,-4.4100,-15.4700,-8.1200
0.5982,9.8253,-0.5698,-7.4200,-14.6300,-11.2000
0.7708,9.2604,-0.6129,-3.1500,-7.1400,-12.8100
0.7561,9.1457,-1.2631,2.1000,-12.6700,-11.4800
0.2157,10.1077,-1.2347,-3.5000,-20.5100,-16.9400
0.8228,8.6907,0.2108,-8.3300,-13.1600,-19.5300
0.9669,8.7917,-0.5747,-2.1700,-6.4400,-11.6900
0.6600,8.7622,-0.6266,1.8900,-7.2100,-0.8400
0.4403,9.2840,-0.6178,1.8200,-8.0500,3.7100
0.5698,9.6095,-0.7463,0.3500,-9.4500,1.6100
0.4590,9.5517,-0.8708,0.5600,-9.5200,-0.9100
0.5982,9.4664,-0.8855,1.1900,-9.9400,-1.4700
0.8090,9.4369,-0.8757,0.9100,-8.4000,-0.4200
0.8708,9.4752,-0.7894,0.0700,-5.0400,1.9600
0.7796,9.4899,-0.8953,-0.8400,-2.0300,2.7300
0.5884,9.3899,-0.9669,-0.7700,-0.5600,2.8700
0.5315,9.3222,-1.0150,-0.2100,-1.3300,3.5000
0.6178,9.3752,-1.0238,0.2100,-1.8900,3.8500
0.6512,9.4418,-0.8806,-0.0700,-1.8900,3.6400
0.8041,9.4752,-0.7845,-0.6300,-0.9800,3.5700
0.8277,9.5517,-0.7708,-0.8400,1.2600,3.6400
0.6894,9.4418,-0.8375,-1.3300,2.3800,3.6400
