aX,aY,aZ,gX,gY,gZ
0.708,9.4232,-0.8855,2.87,-0.84,-0.28
0.6943,9.4183,-0.9189,2.66,-1.05,-0.28
0.7031,9.4036,-0.9042,3.01,-1.12,-0.21
0.6982,9.4085,-0.9091,3.01,-1.33,0.0
0.7129,9.4232,-0.9042,2.8,-1.33,-0.14
0.7414,9.4085,-0.9091,2.87,-1.47,-0.35
0.7178,9.4183,-0.9287,2.73,-1.47,-0.35
0.7228,9.4134,-0.8953,2.94,-1.26,-0.35
0.7326,9.4281,-0.9336,2.8,-1.05,-0.42
0.7277,9.4232,-0.9336,2.94,-1.05,-0.21
0.6943,9.432,-0.9375,2.73,-1.33,-0.21
0.6845,9.3938,-0.9718,2.8,-1.4,0.0
0.6982,9.4134,-0.9336,3.15,-2.03,0.0
0.7375,9.4281,-0.9287,3.08,-1.82,0.0
0.7326,9.4281,-0.8993,2.94,-2.03,0.0
0.7031,9.4036,-0.9336,2.87,-1.75,-0.21
0.7512,9.4183,-0.9091,2.94,-1.75,-0.42
0.708,9.4418,-0.8993,2.94,-1.47,-0.28
0.7031,9.4418,-0.9522,2.66,-1.68,-0.28
0.66,9.4183,-0.9571,2.66,-1.68,-0.07
0.7031,9.4232,-0.9424,2.8,-1.96,0.07
0.6894,9.4183,-0.9473,2.66,-2.17,0.42
0.7178,9.4418,-0.9424,2.38,-2.31,0.35
0.6982,9.4183,-0.9571,1.82,-2.66,0.35
0.7277,9.4036,-0.9718,2.38,-2.31,0.49
0.6943,9.4418,-0.9767,2.38,-2.59,0.63
0.6894,9.4134,-0.962,1.89,-2.94,0.63
0.6796,9.4085,-0.9571,1.96,-3.08,0.77
0.6982,9.4232,-0.9807,1.89,-3.29,0.91
0.7326,9.3899,-0.9473,2.03,-3.43,0.98
0.7129,9.4085,-0.9571,2.31,-3.22,1.05
0.7277,9.4418,-0.9718,1.96,-3.15,1.12
0.7129,9.432,-0.9375,1.82,-3.08,1.12
0.7277,9.4134,-1.0052,1.75,-3.08,1.19
0.7375,9.4085,-0.9767,1.54,-2.87,1.19
0.7375,9.3987,-0.9473,1.68,-2.59,0.98
0.7845,9.4369,-0.962,1.68,-2.17,0.91
0.761,9.4467,-0.9375,1.26,-1.89,0.98
0.7894,9.4183,-0.9042,1.33,-1.4,0.77
0.7992,9.4183,-0.9424,1.4,-1.4,0.84
0.7561,9.4036,-0.9424,1.19,-1.26,0.84
0.7178,9.4134,-0.9522,1.47,-1.19,0.7
0.7326,9.4036,-0.9238,1.33,-1.4,0.84
0.7659,9.4183,-0.962,1.4,-1.33,0.91
0.7659,9.4281,-0.9091,1.26,-0.98,0.63
0.7659,9.3987,-0.9287,1.19,-0.7,0.42
0.7561,9.4036,-0.914,1.4,-0.63,0.49
0.7708,9.4467,-0.8953,1.33,-0.56,0.56
0.7375,9.4232,-0.8904,1.19,-0.21,0.63
0.6894,9.4036,-0.9042,1.12,-0.77,0.42
0.7375,9.3654,-0.8993,1.54,-0.63,0.21
0.8179,9.3987,-0.9238,1.96,-0.28,0.35
0.8041,9.4566,-0.8806,1.75,0.28,0.07
0.7796,9.4369,-0.9091,1.47,0.14,-0.14
0.7708,9.4085,-0.9189,1.82,0.21,-0.42
0.7796,9.3987,-0.9042,2.17,0.21,-0.28
0.7796,9.4134,-0.8904,2.17,0.56,-0.49
0.7943,9.4467,-0.8757,2.24,0.56,-0.49
0.7659,9.4134,-0.9091,2.24,0.63,-0.77
0.7375,9.4183,-0.9336,2.59,0.56,-0.63
0.7414,9.3987,-0.8904,2.66,0.21,-0.56
0.7375,9.4134,-0.8571,2.8,0.28,-0.63
0.7277,9.4467,-0.9522,2.52,-1.19,-1.12
0.6561,9.533,-1.1866,1.54,-6.3,-2.52
0.5502,9.8155,-1.3827,-4.41,-15.47,-8.12
0.5982,9.8253,-0.5698,-7.42,-14.63,-11.2
0.7708,9.2604,-0.6129,-3.15,-7.14,-12.81
0.7561,9.1457,-1.2631,2.1,-12.67,-11.48
0.2157,10.1077,-1.2347,-3.5,-20.51,-16.94
0.8228,8.6907,0.2108,-8.33,-13.16,-19.53
0.9669,8.7917,-0.5747,-2.17,-6.44,-11.69
0.66,8.7622,-0.6266,1.89,-7.21,-0.84
0.4403,9.284,-0.6178,1.82,-8.05,3.71
0.5698,9.6095,-0.7463,0.35,-9.45,1.61
0.459,9.5517,-0.8708,0.56,-9.52,-0.91
0.5982,9.4664,-0.8855,1.19,-9.94,-1.47
0.809,9.4369,-0.8757,0.91,-8.4,-0.42
0.8708,9.4752,-0.7894,0.07,-5.04,1.96
0.7796,9.4899,-0.8953,-0.84,-2.03,2.73
0.5884,9.3899,-0.9669,-0.77,-0.56,2.87
0.5315,9.3222,-1.015,-0.21,-1.33,3.5
0.6178,9.3752,-1.0238,0.21,-1.89,3.85
0.6512,9.4418,-0.8806,-0.07,-1.89,3.64
0.8041,9.4752,-0.7845,-0.63,-0.98,3.57
0.8277,9.5517,-0.7708,-0.84,1.26,3.64
0.6894,9.4418,-0.8375,-1.33,2.38,3.64
0.6698,9.3801,-0.8708,-0.84,2.73,3.57
0.7031,9.3899,-0.9424,-0.42,3.71,3.78
0.7277,9.4085,-0.8277,-0.14,4.83,3.57
0.861,9.4566,-0.7796,-0.42,5.74,3.57
0.7659,9.533,-0.7512,-1.05,7.42,3.36
0.8326,9.4713,-0.66,-1.47,7.91,3.43
0.7992,9.4752,-0.7512,-1.61,8.4,3.99
0.5403,9.4036,-0.7992,-1.4,8.12,4.62
0.5452,9.385,-0.8424,-1.26,6.44,4.97
0.7375,9.3801,-0.6698,-1.4,5.39,5.32
0.8708,9.5379,-0.5315,-1.68,6.58,5.53
0.9522,9.6046,-0.5217,-3.29,8.26,5.95
0.8277,9.5713,-0.66,-4.27,9.59,6.37
0.608,9.3654,-0.7992,-3.71,9.52,6.44
0.5933,9.332,-0.9287,-3.22,7.42,6.79
0.6266,9.3938,-0.9571,-3.29,5.88,7.49
0.5452,9.3938,-0.7845,-3.43,4.69,7.91
0.306,9.4183,-0.8659,-4.06,3.92,8.47
0.6463,9.3418,-0.9669,-3.57,2.17,8.82
0.8424,9.385,-0.8326,-2.45,4.83,9.03
1.0003,9.4085,-0.7992,-2.17,5.39,8.96
0.9571,9.4899,-0.5649,-3.36,6.58,9.8
0.6178,9.4713,-0.66,-3.08,6.65,10.29
0.7796,9.3516,-0.7375,-2.94,4.27,11.13
0.8757,9.385,-0.6698,-2.24,4.48,11.83
0.9375,9.4036,-0.6031,-1.47,4.13,12.39
0.8375,9.4713,-0.5982,-2.59,2.94,13.37
0.6414,9.4801,-0.6463,-3.36,2.59,14.7
0.7943,9.332,-0.8806,-2.87,2.31,15.54
1.067,9.3938,-0.7512,-2.45,1.61,16.03
0.9718,9.4997,-0.6217,-3.15,4.62,16.45
1.115,9.4183,-0.66,-3.43,5.88,16.87
1.1817,9.4183,-0.5835,-2.8,5.6,18.06
0.9091,9.4997,-0.5933,-3.78,6.02,19.53
0.8424,9.4281,-0.6512,-4.83,3.29,20.09
0.9905,9.4085,-0.6561,-5.11,1.33,21.21
0.962,9.4948,-0.8855,-6.58,3.43,23.24
1.0719,9.4232,-0.6796,-5.46,5.67,24.01
1.1297,9.3899,-0.7845,-5.6,5.18,24.29
0.9424,9.4664,-0.8993,-6.16,3.99,26.32
1.3111,9.4418,-0.6747,-7.56,0.84,28.21
1.6603,9.4232,-0.3109,-5.46,2.45,29.12
1.8182,9.5281,-0.2197,-5.6,8.26,30.1
1.929,9.5762,-0.3785,-8.54,10.43,32.48
1.5318,9.4899,-0.3109,-10.85,9.59,35.07
1.3111,9.3173,-0.3825,-10.5,5.25,37.17
1.3357,9.3516,-0.455,-8.33,1.68,36.47
1.7946,9.3938,-0.5403,-8.82,2.94,36.4
2.3212,9.4615,-0.4021,-7.14,6.93,37.66
2.4644,9.5762,-0.1863,-8.19,14.21,40.04
2.4026,9.7576,-0.2442,-10.57,16.8,43.47
2.0623,9.7959,-0.2344,-13.93,14.91,45.36
1.9094,9.7145,0.0481,-13.23,12.32,44.8
1.9427,9.8537,0.0098,-11.41,12.6,45.85
2.1771,9.992,-0.1245,-13.44,12.67,48.3
2.383,10.0695,-0.2059,-15.96,15.47,50.61
2.3114,10.0646,-0.1961,-16.73,17.85,53.2
2.2065,10.0979,-0.1294,-16.24,17.5,54.04
2.1104,10.2126,-0.0765,-18.48,18.48,54.95
2.2202,10.2274,-0.2108,-21.98,17.15,54.74
2.0388,10.0263,-0.2295,-24.57,22.26,54.81
2.3212,9.8008,-0.6982,-23.31,30.45,55.72
4.7572,9.5997,-0.3687,36.26,-8.89,67.69
5.2642,13.6057,3.1823,-6.16,10.57,103.39
-4.259,12.1553,2.029,-84.42,32.48,58.59
4.3983,9.6625,-2.1918,-26.6,-17.78,50.68
2.7616,10.7098,1.8044,-10.71,-2.45,82.04
2.4124,11.8209,-0.7757,-37.66,-11.41,88.62
3.0626,11.8298,-0.2157,-36.96,-19.74,91.91
2.7616,11.8543,0.3923,-36.54,-1.89,92.75
2.8763,12.2367,-0.354,-36.61,6.37,92.89
2.5458,12.4142,-0.4403,-40.53,7.07,102.62
2.3732,12.577,0.0235,-37.1,11.83,112.91
2.2536,13.2223,-0.3638,-36.54,19.18,117.39
1.9143,14.3236,-0.9954,-41.09,28.42,117.81
1.2729,14.3716,-0.8904,-45.71,34.86,116.34
0.6178,14.098,-0.9375,-47.6,38.5,118.02
-0.1,13.5577,-0.9375,-47.32,45.43,123.62
-0.2726,13.1654,-1.5602,-45.57,46.9,134.12
-0.0618,13.0889,-0.1393,-48.58,47.88,144.27
-0.2197,12.83,-0.0481,-50.05,56.28,147.91
1.5651,12.022,0.3354,-46.69,55.44,143.5
4.8288,10.6481,0.5217,-33.04,46.2,135.17
8.4367,9.5762,-0.2775,-35.77,37.38,132.65
8.2935,9.0594,-1.9574,-44.17,32.2,137.13
3.1725,9.0927,-2.7233,-43.4,43.05,140.21
0.1432,8.1072,-0.4021,-33.81,58.87,112.21
-0.153,7.4128,-1.2631,-54.04,55.3,75.39
1.0719,6.2498,-2.6517,-72.03,45.08,43.89
0.8953,3.7667,-3.0822,-71.54,47.81,19.53
1.2396,2.8812,-2.4546,-64.47,59.36,1.26
0.7228,2.23,-3.2735,-46.69,63.84,-25.55
-3.6226,1.9427,-1.9241,-7.56,66.78,-47.04
-6.1252,1.8093,1.067,26.74,42.7,-74.41
-5.274,2.7321,0.0667,42.77,17.36,-106.33
-2.6272,3.3352,-1.0003,47.32,-7.84,-123.48
-0.8659,4.0345,-1.6083,68.18,-21.21,-136.5
-0.6561,4.2071,-0.7708,68.53,-29.47,-147.84
-1.4975,4.2835,-0.6982,75.67,-38.36,-155.82
-2.3595,4.4983,-0.7414,92.12,-43.61,-172.48
-2.7753,5.1161,-0.9905,111.86,-46.41,-185.85
