aX,aY,aZ,gX,gY,gZ
1.1866,9.3271,-0.4021,-11.8300,7.0000,20.8600
1.1915,9.4085,-0.3923,-12.1100,9.3100,24.0100
1.0238,9.4752,-0.3825,-13.7200,10.5700,27.6500
0.6178,9.5134,-0.2540,-14.5600,10.2900,31.7800
-0.2726,9.5762,-0.4982,-18.6200,10.2900,31.7100
0.0912,9.4281,-1.0238,-16.1700,0.9100,33.7400
0.4452,9.4232,-1.0670,-14.2800,-5.7400,35.8400
1.3308,9.3516,-0.4452,-10.2900,-10.6400,39.2000
2.0241,9.6331,-0.1530,-9.1700,-4.0600,41.3700
2.2967,9.8684,-0.0235,-11.4100,4.4800,42.0000
2.1535,10.0165,-0.2059,-15.6100,10.8500,41.0900
1.9907,9.9067,-0.3060,-16.6600,12.6000,40.7400
1.8564,9.8341,-0.3011,-15.1900,12.3900,42.2100
1.8231,9.8969,-0.2197,-12.1800,11.8300,44.0300
1.9192,10.0979,-0.1245,-11.2700,10.7100,45.1500
1.9760,10.3421,-0.1344,-13.3700,9.8000,45.2900
2.0006,10.4284,-0.2010,-16.1000,9.1000,43.6100
1.9957,10.2362,-0.1049,-16.1000,5.3900,41.0900
2.3732,9.8439,0.5217,-11.6200,4.3400,39.4100
2.7616,9.6625,1.0150,-9.1000,6.5100,38.4300
2.8429,9.5948,1.2013,-12.1100,10.1500,36.6100
2.7321,9.4232,0.8179,-12.8100,12.4600,33.8100
2.6939,9.3124,0.0196,-12.2500,16.0300,30.2400
2.7468,9.0545,-0.6315,8.6100,9.7300,28.4200
4.0060,9.8106,0.4786,10.7800,7.7000,45.7100
2.5988,11.1551,2.5076,26.3200,27.6500,54.8100
2.9626,12.7732,0.4835,-4.9000,29.8900,53.6200
1.7799,12.0122,0.8522,-35.4200,37.5200,38.9900
1.6799,10.3852,-1.1199,-27.8600,42.0000,35.0000
1.7328,9.7439,-1.8907,-1.8900,29.3300,48.0200
0.7414,10.2940,-1.0101,15.3300,27.3000,59.9900
1.4024,11.8641,-1.6465,10.4300,2.6600,62.4400
0.6698,14.1412,-2.6468,-12.8800,-11.0600,36.3300
0.2873,12.4858,2.6939,-31.9200,-40.6000,25.6900
1.6946,11.1168,1.3308,-40.0400,-12.8800,25.9000
2.9194,9.3703,0.6031,-32.3400,13.7900,43.1200
3.5225,8.5377,0.0579,-17.6400,17.3600,69.3700
2.7949,8.2935,0.0961,-3.1500,14.0700,57.4000
2.8184,8.6475,-0.7845,-1.5400,2.3100,53.2700
2.9910,8.4896,-0.4168,-1.8200,-9.0300,46.8300
3.6510,8.1209,-0.4501,-2.7300,-8.6100,36.6100
3.7952,7.7433,-0.5747,-5.8100,-1.1200,32.0600
2.8763,7.3177,-1.4357,-14.9100,10.4300,21.3500
1.9045,6.6715,-1.9290,-14.6300,29.8200,6.5800
2.0388,5.5270,-0.0863,21.4900,44.3800,-4.3400
-0.8757,6.4322,0.6600,18.8300,50.6100,-5.9500
-2.4546,7.0686,1.3210,8.4000,38.7100,-17.6400
-1.1964,7.0441,0.4168,5.1100,31.4300,-28.1400
-0.6649,6.6136,0.0716,4.3400,24.9900,-40.3200
-0.4021,6.1115,0.0196,10.0800,21.4200,-46.0600
-0.6943,6.0252,0.2295,20.7900,20.5800,-49.7700
-0.7992,6.4077,0.2775,27.5800,19.7400,-55.0900
