aX,aY,aZ,gX,gY,gZ
1.1866,9.3271,-0.4021,-11.83,7.0,20.86
1.1915,9.4085,-0.3923,-12.11,9.31,24.01
1.0238,9.4752,-0.3825,-13.72,10.57,27.65
0.6178,9.5134,-0.254,-14.56,10.29,31.78
-0.2726,9.5762,-0.4982,-18.62,10.29,31.71
0.0912,9.4281,-1.0238,-16.17,0.91,33.74
0.4452,9.4232,-1.067,-14.28,-5.74,35.84
1.3308,9.3516,-0.4452,-10.29,-10.64,39.2
2.0241,9.6331,-0.153,-9.17,-4.06,41.37
2.2967,9.8684,-0.0235,-11.41,4.48,42.0
2.1535,10.0165,-0.2059,-15.61,10.85,41.09
1.9907,9.9067,-0.306,-16.66,12.6,40.74
1.8564,9.8341,-0.3011,-15.19,12.39,42.21
1.8231,9.8969,-0.2197,-12.18,11.83,44.03
1.9192,10.0979,-0.1245,-11.27,10.71,45.15
1.976,10.3421,-0.1344,-13.37,9.8,45.29
2.0006,10.4284,-0.201,-16.1,9.1,43.61
1.9957,10.2362,-0.1049,-16.1,5.39,41.09
2.3732,9.8439,0.5217,-11.62,4.34,39.41
2.7616,9.6625,1.015,-9.1,6.51,38.43
2.8429,9.5948,1.2013,-12.11,10.15,36.61
2.7321,9.4232,0.8179,-12.81,12.46,33.81
2.6939,9.3124,0.0196,-12.25,16.03,30.24
2.7468,9.0545,-0.6315,8.61,9.73,28.42
4.006,9.8106,0.4786,10.78,7.7,45.71
2.5988,11.1551,2.5076,26.32,27.65,54.81
2.9626,12.7732,0.4835,-4.9,29.89,53.62
1.7799,12.0122,0.8522,-35.42,37.52,38.99
1.6799,10.3852,-1.1199,-27.86,42.0,35.0
1.7328,9.7439,-1.8907,-1.89,29.33,48.02
0.7414,10.294,-1.0101,15.33,27.3,59.99
1.4024,11.8641,-1.6465,10.43,2.66,62.44
0.6698,14.1412,-2.6468,-12.88,-11.06,36.33
0.2873,12.4858,2.6939,-31.92,-40.6,25.69
1.6946,11.1168,1.3308,-40.04,-12.88,25.9
2.9194,9.3703,0.6031,-32.34,13.79,43.12
3.5225,8.5377,0.0579,-17.64,17.36,69.37
2.7949,8.2935,0.0961,-3.15,14.07,57.4
2.8184,8.6475,-0.7845,-1.54,2.31,53.27
2.991,8.4896,-0.4168,-1.82,-9.03,46.83
3.651,8.1209,-0.4501,-2.73,-8.61,36.61
3.7952,7.7433,-0.5747,-5.81,-1.12,32.06
2.8763,7.3177,-1.4357,-14.91,10.43,21.35
1.9045,6.6715,-1.929,-14.63,29.82,6.58
2.0388,5.527,-0.0863,21.49,44.38,-4.34
-0.8757,6.4322,0.66,18.83,50.61,-5.95
-2.4546,7.0686,1.321,8.4,38.71,-17.64
-1.1964,7.0441,0.4168,5.11,31.43,-28.14
-0.6649,6.6136,0.0716,4.34,24.99,-40.32
-0.4021,6.1115,0.0196,10.08,21.42,-46.06
-0.6943,6.0252,0.2295,20.79,20.58,-49.77
-0.7992,6.4077,0.2775,27.58,19.74,-55.09
-0.6178,6.9725,0.153,29.54,18.55,-63.07
-0.5452,7.4227,0.3011,27.16,16.8,-75.81
-0.4884,7.5992,0.6315,24.99,17.64,-84.91
-0.1481,7.7237,0.7708,23.59,18.97,-91.63
0.0579,7.9061,0.7757,22.05,16.52,-97.09
0.1344,7.9542,0.9336,22.75,11.83,-100.31
0.3874,8.0738,0.9807,26.32,8.47,-101.36
0.7845,8.3651,1.0434,31.36,7.21,-101.57
1.1435,8.7103,1.1386,32.62,8.12,-100.8
1.522,9.0545,1.2298,30.8,10.57,-100.45
1.8711,9.284,1.0101,27.23,13.02,-101.29
2.2447,9.2791,1.0719,26.53,12.18,-101.99
2.4889,9.2173,1.4308,28.07,10.36,-101.78
2.6517,9.3418,1.6985,29.47,9.45,-100.17
2.7802,9.6046,1.6269,27.51,7.0,-98.21
