aX,aY,aZ,gX,gY,gZ
0.9807,9.2702,-1.5269,4.4100,-1.1900,0.2100
0.9375,9.3085,-1.5749,4.2000,-2.0300,0.4200
0.8424,9.3036,-1.5171,3.2900,-3.3600,0.7000
0.9189,9.2702,-1.4788,3.9900,-3.9900,0.9800
0.9522,9.3320,-1.3739,5.0400,-4.2000,1.6800
0.9375,9.3938,-1.3357,3.7100,-3.9200,1.4000
1.1003,9.3850,-1.3641,3.8500,-3.9200,1.1900
1.0101,9.3604,-1.3690,3.2900,-2.9400,1.4000
1.0189,9.3085,-1.4122,3.2200,-3.9900,1.6100
0.9807,9.3124,-1.4455,3.9200,-3.9900,2.1700
0.9571,9.3320,-1.5269,3.2200,-4.4800,2.0300
0.9424,9.2987,-1.5318,3.0800,-4.6200,1.9600
0.9238,9.2653,-1.6652,3.6400,-4.9700,1.9600
0.9767,9.3036,-1.6083,3.7800,-5.8800,2.1700
1.0434,9.2741,-1.5024,3.2900,-5.0400,2.5200
1.0621,9.4134,-1.4690,3.8500,-2.8000,2.2400
1.0532,9.4516,-1.4210,1.6100,-3.0100,1.1900
1.0052,9.3555,-1.4886,0.4900,-1.9600,1.4700
1.0768,9.3320,-1.5700,1.4700,-1.6100,2.4500
1.0287,9.3516,-1.4210,1.1200,-0.9800,2.1700
1.1150,9.3516,-1.4504,0.1400,-0.4200,1.4000
1.0189,9.2987,-1.4788,0.7000,-0.1400,1.7500
0.9620,9.2987,-1.4504,0.4900,-1.6100,1.6800
1.0719,9.3036,-1.4073,0.7700,-1.9600,1.4000
1.2543,9.3418,-1.4210,0.7000,-1.3300,1.1200
1.2680,9.3222,-1.3592,0.4900,0.0700,0.4200
1.2013,9.2791,-1.3739,0.8400,0.5600,-0.1400
1.1582,9.3036,-1.3111,1.4700,0.7700,-0.2800
1.0621,9.3467,-1.3259,1.0500,0.8400,-0.9100
1.1729,9.3173,-1.3494,1.0500,0.2100,-1.4700
1.0817,9.2506,-1.3396,1.0500,-0.1400,-1.3300
1.0572,9.2075,-1.2876,2.4500,-1.6800,-0.9800
1.0964,9.2741,-1.1582,3.5700,-1.9600,-0.7000
1.1101,9.4036,-1.1729,3.7800,-1.4700,-1.1200
1.1297,9.4467,-1.3827,2.1000,-1.5400,-1.8200
1.0768,9.3036,-1.4690,2.2400,-1.8200,-1.8900
1.0003,9.1839,-1.5700,3.9200,-2.5200,-1.2600
0.9091,9.2075,-1.5985,4.6900,-4.0600,-1.1200
1.0483,9.2457,-1.4739,5.0400,-5.9500,-1.7500
1.1484,9.2408,-1.3161,5.6000,-5.3900,-1.4700
1.1386,9.3036,-1.2925,6.1600,-4.6900,-1.5400
1.0532,9.3938,-1.4592,5.5300,-5.6700,-2.1700
0.9620,9.3752,-1.5553,4.0600,-7.0700,-2.8000
1.0150,9.2506,-1.6750,3.9900,-7.4200,-3.0800
1.0866,9.1977,-1.7083,5.4600,-6.0900,-2.8700
1.1484,9.2271,-1.7132,6.3700,-4.6200,-3.1500
1.0572,9.2320,-1.6269,6.7200,-3.7800,-3.3600
0.9375,9.3418,-1.5936,6.6500,-4.0600,-3.4300
0.8806,9.4232,-1.5455,5.1800,-4.9700,-3.2200
0.8708,9.4467,-1.6367,3.6400,-5.3200,-3.4300
0.8806,9.3987,-1.6220,2.8000,-5.5300,-3.0800
0.9189,9.3516,-1.7613,2.1000,-5.2500,-2.2400
0.9336,9.2741,-1.7799,2.4500,-4.2700,-1.7500
0.9807,9.3516,-1.7181,2.3800,-2.9400,-1.4700
0.9718,9.4320,-1.7132,0.0700,-2.3800,-1.4000
0.9287,9.3124,-1.6269,-0.9800,-1.8900,-1.1200
0.9140,9.2702,-1.6701,-0.2100,-1.7500,-0.7700
0.8610,9.3036,-1.6750,-0.4200,-2.2400,-0.0700
0.8855,9.3369,-1.5936,-1.2600,-2.2400,0.2100
1.1003,9.3899,-1.5406,-1.6800,-0.3500,0.6300
1.1817,9.4134,-1.5504,-3.1500,2.3800,0.7000
1.0238,9.3418,-1.6034,-4.0600,4.4800,0.9100
0.8424,9.2408,-1.6416,-4.0600,3.3600,1.3300
0.7326,9.2457,-1.5269,-2.8700,1.4700,2.8700
0.8610,9.3271,-1.5171,-3.8500,-0.2800,3.3600
0.9807,9.3801,-1.4592,-5.7400,-0.5600,3.3600
1.0532,9.3555,-1.4690,-5.6000,0.7700,3.9900
1.0532,9.3752,-1.3210,-4.6900,1.6100,4.6900
0.9807,9.4615,-1.5122,-6.7900,2.4500,5.1800
0.8806,9.4036,-1.5789,-8.4700,2.0300,5.5300
0.8708,9.2555,-1.6083,-8.7500,1.1200,6.7900
0.9336,9.1888,-1.6416,-7.9100,0.9100,8.3300
1.0189,9.2124,-1.5789,-6.7200,1.8200,8.8200
1.0817,9.2457,-1.4122,-6.0200,2.2400,9.3100
1.1052,9.2840,-1.1866,-4.8300,3.3600,9.5900
1.1582,9.3271,-1.0385,-4.7600,3.8500,9.8000
1.2396,9.3801,-1.0434,-4.4100,4.5500,10.0800
1.2111,9.3604,-1.1866,-4.9000,4.9700,10.0100
1.0964,9.2840,-1.2013,-3.9200,4.5500,10.5700
1.0483,9.2124,-1.1817,-2.2400,5.0400,10.5700
1.2729,9.2840,-1.0670,0.5600,4.9000,10.5700
1.2013,9.4418,-1.2396,-1.6800,6.2300,10.1500
1.2298,9.3987,-1.2111,-2.3100,4.2700,9.5200
1.1680,9.2702,-1.1817,-1.4700,3.7100,9.9400
1.3161,9.2555,-1.2778,0.0000,3.5000,10.7100
1.3543,9.2889,-1.0483,0.8400,5.3200,11.0600
1.3357,9.3467,-1.0768,1.6100,5.3200,10.7800
1.2631,9.4467,-1.2111,0.9800,5.8100,11.5500
1.2925,9.5330,-1.1003,1.1200,5.2500,12.8800
1.1297,9.5134,-1.0719,-2.1000,6.3000,12.3200
1.0866,9.2653,-1.4592,-3.4300,5.5300,13.3000
1.0189,9.1310,-1.4161,0.6300,2.6600,16.3800
0.9767,9.2408,-1.1680,2.0300,0.9100,18.7600
1.3308,9.4516,-1.2876,0.0700,-0.2100,19.0400
1.4936,9.5948,-1.2347,-1.6800,0.9800,20.3000
1.5455,9.5183,-1.1435,-3.9900,2.9400,20.0900
1.5357,9.3320,-1.1866,-4.4800,4.3400,20.4400
1.4308,9.1928,-1.3357,-2.2400,4.4800,22.1900
1.2494,9.2075,-1.3013,-1.7500,1.8900,23.6600
1.4073,9.3516,-1.4739,-3.7100,-2.1700,24.5000
1.6985,9.4566,-1.0434,-3.6400,-3.5700,26.0400
1.9192,9.6144,-0.9375,-5.4600,0.3500,26.4600
2.0192,9.6674,-1.0866,-5.1100,3.0800,27.0900
1.6897,9.6193,-0.9718,-6.9300,3.5700,27.9300
1.5749,9.5183,-0.9140,-6.5100,-0.2800,29.1900
1.7848,9.5478,-0.8375,-6.3000,-1.0500,30.4500
2.2447,9.7194,-0.7277,-5.6700,1.6100,30.8700
2.5321,9.8969,-0.7561,-8.4700,4.8300,32.4100
2.2732,9.8155,-0.6414,-9.8000,7.7700,31.3600
2.1732,9.7341,-0.8855,-7.6300,7.2100,29.5400
2.2251,9.7243,-0.8659,-5.9500,6.4400,30.2400
2.3350,9.6380,-0.6463,-6.7900,8.1900,30.1700
2.5703,9.6291,-0.5933,-3.8500,10.4300,31.7800
2.2447,9.9685,-0.5452,-4.6900,13.0200,33.2500
2.0143,10.1793,-0.9767,-14.1400,10.5700,30.3100
2.2732,9.6429,-0.9571,-14.0700,6.4400,31.1500
2.4360,9.6144,-0.8041,-6.3700,8.9600,32.1300
1.4641,9.7341,2.5027,-44.9400,24.4300,49.9800
3.1872,9.7488,-1.6701,-34.1600,10.9200,62.3000
3.7667,9.9204,-0.2393,-2.3800,9.8700,47.8800
2.6605,11.1217,0.7796,-14.7700,24.7100,36.0500
1.8231,10.9540,0.1432,-37.0300,28.0700,39.3400
