aX,aY,aZ,gX,gY,gZ
0.9807,9.2702,-1.5269,4.41,-1.19,0.21
0.9375,9.3085,-1.5749,4.2,-2.03,0.42
0.8424,9.3036,-1.5171,3.29,-3.36,0.7
0.9189,9.2702,-1.4788,3.99,-3.99,0.98
0.9522,9.332,-1.3739,5.04,-4.2,1.68
0.9375,9.3938,-1.3357,3.71,-3.92,1.4
1.1003,9.385,-1.3641,3.85,-3.92,1.19
1.0101,9.3604,-1.369,3.29,-2.94,1.4
1.0189,9.3085,-1.4122,3.22,-3.99,1.61
0.9807,9.3124,-1.4455,3.92,-3.99,2.17
0.9571,9.332,-1.5269,3.22,-4.48,2.03
0.9424,9.2987,-1.5318,3.08,-4.62,1.96
0.9238,9.2653,-1.6652,3.64,-4.97,1.96
0.9767,9.3036,-1.6083,3.78,-5.88,2.17
1.0434,9.2741,-1.5024,3.29,-5.04,2.52
1.0621,9.4134,-1.469,3.85,-2.8,2.24
1.0532,9.4516,-1.421,1.61,-3.01,1.19
1.0052,9.3555,-1.4886,0.49,-1.96,1.47
1.0768,9.332,-1.57,1.47,-1.61,2.45
1.0287,9.3516,-1.421,1.12,-0.98,2.17
1.115,9.3516,-1.4504,0.14,-0.42,1.4
1.0189,9.2987,-1.4788,0.7,-0.14,1.75
0.962,9.2987,-1.4504,0.49,-1.61,1.68
1.0719,9.3036,-1.4073,0.77,-1.96,1.4
1.2543,9.3418,-1.421,0.7,-1.33,1.12
1.268,9.3222,-1.3592,0.49,0.07,0.42
1.2013,9.2791,-1.3739,0.84,0.56,-0.14
1.1582,9.3036,-1.3111,1.47,0.77,-0.28
1.0621,9.3467,-1.3259,1.05,0.84,-0.91
1.1729,9.3173,-1.3494,1.05,0.21,-1.47
1.0817,9.2506,-1.3396,1.05,-0.14,-1.33
1.0572,9.2075,-1.2876,2.45,-1.68,-0.98
1.0964,9.2741,-1.1582,3.57,-1.96,-0.7
1.1101,9.4036,-1.1729,3.78,-1.47,-1.12
1.1297,9.4467,-1.3827,2.1,-1.54,-1.82
1.0768,9.3036,-1.469,2.24,-1.82,-1.89
1.0003,9.1839,-1.57,3.92,-2.52,-1.26
0.9091,9.2075,-1.5985,4.69,-4.06,-1.12
1.0483,9.2457,-1.4739,5.04,-5.95,-1.75
1.1484,9.2408,-1.3161,5.6,-5.39,-1.47
1.1386,9.3036,-1.2925,6.16,-4.69,-1.54
1.0532,9.3938,-1.4592,5.53,-5.67,-2.17
0.962,9.3752,-1.5553,4.06,-7.07,-2.8
1.015,9.2506,-1.675,3.99,-7.42,-3.08
1.0866,9.1977,-1.7083,5.46,-6.09,-2.87
1.1484,9.2271,-1.7132,6.37,-4.62,-3.15
1.0572,9.232,-1.6269,6.72,-3.78,-3.36
0.9375,9.3418,-1.5936,6.65,-4.06,-3.43
0.8806,9.4232,-1.5455,5.18,-4.97,-3.22
0.8708,9.4467,-1.6367,3.64,-5.32,-3.43
0.8806,9.3987,-1.622,2.8,-5.53,-3.08
0.9189,9.3516,-1.7613,2.1,-5.25,-2.24
0.9336,9.2741,-1.7799,2.45,-4.27,-1.75
0.9807,9.3516,-1.7181,2.38,-2.94,-1.47
0.9718,9.432,-1.7132,0.07,-2.38,-1.4
0.9287,9.3124,-1.6269,-0.98,-1.89,-1.12
0.914,9.2702,-1.6701,-0.21,-1.75,-0.77
0.861,9.3036,-1.675,-0.42,-2.24,-0.07
0.8855,9.3369,-1.5936,-1.26,-2.24,0.21
1.1003,9.3899,-1.5406,-1.68,-0.35,0.63
1.1817,9.4134,-1.5504,-3.15,2.38,0.7
1.0238,9.3418,-1.6034,-4.06,4.48,0.91
0.8424,9.2408,-1.6416,-4.06,3.36,1.33
0.7326,9.2457,-1.5269,-2.87,1.47,2.87
0.861,9.3271,-1.5171,-3.85,-0.28,3.36
0.9807,9.3801,-1.4592,-5.74,-0.56,3.36
1.0532,9.3555,-1.469,-5.6,0.77,3.99
1.0532,9.3752,-1.321,-4.69,1.61,4.69
0.9807,9.4615,-1.5122,-6.79,2.45,5.18
0.8806,9.4036,-1.5789,-8.47,2.03,5.53
0.8708,9.2555,-1.6083,-8.75,1.12,6.79
0.9336,9.1888,-1.6416,-7.91,0.91,8.33
1.0189,9.2124,-1.5789,-6.72,1.82,8.82
1.0817,9.2457,-1.4122,-6.02,2.24,9.31
1.1052,9.284,-1.1866,-4.83,3.36,9.59
1.1582,9.3271,-1.0385,-4.76,3.85,9.8
1.2396,9.3801,-1.0434,-4.41,4.55,10.08
1.2111,9.3604,-1.1866,-4.9,4.97,10.01
1.0964,9.284,-1.2013,-3.92,4.55,10.57
1.0483,9.2124,-1.1817,-2.24,5.04,10.57
1.2729,9.284,-1.067,0.56,4.9,10.57
1.2013,9.4418,-1.2396,-1.68,6.23,10.15
1.2298,9.3987,-1.2111,-2.31,4.27,9.52
1.168,9.2702,-1.1817,-1.47,3.71,9.94
1.3161,9.2555,-1.2778,0.0,3.5,10.71
1.3543,9.2889,-1.0483,0.84,5.32,11.06
1.3357,9.3467,-1.0768,1.61,5.32,10.78
1.2631,9.4467,-1.2111,0.98,5.81,11.55
1.2925,9.533,-1.1003,1.12,5.25,12.88
1.1297,9.5134,-1.0719,-2.1,6.3,12.32
1.0866,9.2653,-1.4592,-3.43,5.53,13.3
1.0189,9.131,-1.4161,0.63,2.66,16.38
0.9767,9.2408,-1.168,2.03,0.91,18.76
1.3308,9.4516,-1.2876,0.07,-0.21,19.04
1.4936,9.5948,-1.2347,-1.68,0.98,20.3
1.5455,9.5183,-1.1435,-3.99,2.94,20.09
1.5357,9.332,-1.1866,-4.48,4.34,20.44
1.4308,9.1928,-1.3357,-2.24,4.48,22.19
1.2494,9.2075,-1.3013,-1.75,1.89,23.66
1.4073,9.3516,-1.4739,-3.71,-2.17,24.5
1.6985,9.4566,-1.0434,-3.64,-3.57,26.04
1.9192,9.6144,-0.9375,-5.46,0.35,26.46
2.0192,9.6674,-1.0866,-5.11,3.08,27.09
1.6897,9.6193,-0.9718,-6.93,3.57,27.93
1.5749,9.5183,-0.914,-6.51,-0.28,29.19
1.7848,9.5478,-0.8375,-6.3,-1.05,30.45
2.2447,9.7194,-0.7277,-5.67,1.61,30.87
2.5321,9.8969,-0.7561,-8.47,4.83,32.41
2.2732,9.8155,-0.6414,-9.8,7.77,31.36
2.1732,9.7341,-0.8855,-7.63,7.21,29.54
2.2251,9.7243,-0.8659,-5.95,6.44,30.24
2.335,9.638,-0.6463,-6.79,8.19,30.17
2.5703,9.6291,-0.5933,-3.85,10.43,31.78
2.2447,9.9685,-0.5452,-4.69,13.02,33.25
2.0143,10.1793,-0.9767,-14.14,10.57,30.31
2.2732,9.6429,-0.9571,-14.07,6.44,31.15
2.436,9.6144,-0.8041,-6.37,8.96,32.13
1.4641,9.7341,2.5027,-44.94,24.43,49.98
3.1872,9.7488,-1.6701,-34.16,10.92,62.3
3.7667,9.9204,-0.2393,-2.38,9.87,47.88
2.6605,11.1217,0.7796,-14.77,24.71,36.05
1.8231,10.954,0.1432,-37.03,28.07,39.34
